District Name,District Code,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %"
Gloucester,1070000,"1,446",13.1,"2,691",1.8,1.2,12.9,79.7,0.3,0.3,3.8
Gosnold,1090000,10,2.8,6,0,0,0,100,0,0,0
Grafton,1100000,"1,948",16,"3,152",2.2,12.6,6,76,0.2,0.1,2.9
Granby,1110000,390,14.1,715,0.1,1.3,10.4,83.9,0.3,0,4.1
Greater Fall River Regional Vocational Technical,8210000,860,16,"1,439",3.3,2.2,12.2,75.5,0.7,0,6.1
Greater Lawrence Regional Vocational Technical,8230000,"1,787",13.7,"1,629",1.2,1.2,82,15.4,0.1,0.1,0.1
Greater Lowell Regional Vocational Technical,8280000,"1,444",17.9,"2,286",5.2,17.2,36,38.4,0.2,0,3.1
Greater New Bedford Regional Vocational Technical,8250000,"1,986",15.1,"2,106",8,1.1,25.4,59.3,0.4,0.1,5.8
Greenfield,1140000,722,16.3,"1,556",3,1.4,20.4,69.5,0.3,0,5.4
Greenfield Commonwealth Virtual District,39010000,340,18.6,"1,002",7.4,4.5,20.9,59.8,0.1,0.3,7.1
Groton-Dunstable,6730000,"1,099",16.8,"2,274",1.1,7.1,3.5,84.7,0.3,0.1,3.3
Hadley,1170000,399,16.2,507,4.1,4.5,9.7,75.9,0.4,2.4,3
Halifax,1180000,274,17.9,568,1.4,0,6,89.6,0.4,0,2.6
Hamilton-Wenham,6750000,"1,221",11.8,"1,683",0.5,3.7,5.2,87.8,0,0.2,2.7
Hampden Charter School of Science East (District),4990000,252,19,536,30.8,2.2,36.9,26.1,0.6,0,3.4
Hampden Charter School of Science West (District),35160000,162,17.4,327,16.2,1.2,33.9,47.1,0,0,1.5
Hampden-Wilbraham,6800000,"1,154",17.9,"2,892",3,2.4,8.6,82.4,0.2,0.1,3.4
Hampshire,6830000,576,11.2,684,0.3,1.3,4.1,91.2,0.2,0,2.9
