District Name,District Code,General Education (#),Special Education (#),Career Vocational Technical (#),English Language Learner (#),FTE Count
Veritas Preparatory Charter School (District),4980000,31,0,0,0,31
Wachusett,7750000,453.1,0,0,0.5,453.6
Wakefield,3050000,232.3,26,2.3,5,265.6
Wales,3060000,8.5,1,0,0,9.5
Walpole,3070000,238.5,39,0,5,282.5
Waltham,3080000,419.3,39.8,15.7,31.4,506.2
Ware,3090000,69.1,17.4,0.2,2,88.6
Wareham,3100000,172,0,0,0,172
Watertown,3140000,212.2,32.8,0,14.7,259.6
Wayland,3150000,180.6,41.3,1.7,5,228.5
Webster,3160000,102.6,25.3,0,5,132.9
Wellesley,3170000,387.2,28,0,5.1,420.3
Wellfleet,3180000,13.2,2,0,0,15.2
West Boylston,3220000,75.3,9.9,0,1.5,86.7
West Bridgewater,3230000,90.1,6,0,1.5,97.6
West Springfield,3320000,255.3,57,0,11.6,323.9
Westborough,3210000,259,59,0,18.1,336.1
Westfield,3250000,372.4,25.4,15.4,0.3,413.6
Westford,3260000,305.8,34.5,0,4.6,345
Westhampton,3270000,13.3,2,0,0.2,15.5
Weston,3300000,155,22.3,0,2.2,179.5
Westport,3310000,107.1,10.3,0,0,117.4
Westwood,3350000,216.9,24,0,1.7,242.5
Weymouth,3360000,306.6,96,15.9,8,426.5
Whately,3370000,9.2,3,0,0.4,12.6
Whitman-Hanson,7800000,204.6,39.6,0,2,246.2
Whittier Regional Vocational Technical,8850000,63.1,0,42.9,0,106
Williamsburg,3400000,13.8,3,0,0.5,17.3
Wilmington,3420000,220.8,43.6,3,1.6,268.9
Winchendon,3430000,74.6,3.3,0,0,77.9
Winchester,3440000,301,40.8,0,6.9,348.7
Winthrop,3460000,143,7.2,0,0,150.2
Woburn,3470000,323.4,32.1,0,6,361.5
Worcester,3480000,1680.9,0,65.7,94,1840.6
Worthington,3490000,6.4,1,0,0,7.4
Wrentham,3500000,60.6,12.5,0,1,74.2
State Totals,0,61947.2,9316.5,1895.9,1987.1,75146.7
