District Name,District Code,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count
Silver Lake,7600000,6.5,22,46,56.8,52.6,31.5,4.8,220.2
Sizer School: A North Central Charter Essential (District),4740000,2.5,9.9,17,9.5,11.9,8.4,3.4,62.5
Somerset,2730000,10,32.8,32.9,69.5,57.4,26.6,0.3,229.4
Somerset Berkley Regional School District,7630000,8,14,29.1,34.7,15.6,17.5,2.3,121.1
Somerville,2740000,29.2,169.5,181,134,121.5,111.1,33,779.3
South Hadley,2780000,12.1,40,34.5,54.1,53.7,58.2,14.3,266.9
South Middlesex Regional Vocational Technical,8290000,6,15,29,25,31,23.2,5.1,134.3
South Shore Charter Public (District),4880000,12.3,35.5,32.2,31.2,20,18.2,4.6,154
South Shore Regional Vocational Technical,8730000,4,15.1,17.7,17.5,25,15.2,3,97.5
Southampton,2750000,2,8.8,8.5,11,23.4,14.2,2,69.9
Southborough,2760000,5,21.5,33.6,70.8,61,26.8,3.1,221.9
Southbridge,2770000,27,67.5,70.2,60.9,68.2,45,5.5,344.3
Southeastern Regional Vocational Technical,8720000,4,31,37,37,45.5,26.8,10,191.3
Southern Berkshire,7650000,4,10,12.6,33,47.5,27.4,9.4,143.9
Southern Worcester County Regional Vocational Technical,8760000,8,13,24,36,40,34,10,165
Southwick-Tolland-Granville Regional School District,7660000,10,31,43,54.6,45.5,35.6,9.8,229.5
Spencer-E Brookfield,7670000,6.4,26,37.7,44.3,48.7,32,3,198.2
Springfield,2810000,286,708.1,771.3,690.7,730.9,519.4,132,"3,838.40"
Springfield Preparatory Charter School (District),35100000,7.6,33,9.4,0.7,0,0.6,0,51.4
Stoneham,2840000,18,72.4,72.2,56.2,86.7,51.1,12.3,368.9
Stoughton,2850000,17.2,81.2,114,106.8,85.9,55.6,13.9,474.6
Sturbridge,2870000,2,14,24,21.5,34,29.5,5,129.9
Sturgis Charter Public (District),4890000,7,32.2,28.3,27.8,30.1,17.7,5.1,148.2
Sudbury,2880000,11.2,56.4,76.1,78.2,109.5,61.2,9.8,402.5
Sunderland,2890000,4,12,8.8,9.5,13.3,13,2,62.5
Sutton,2900000,9,22.7,19.4,56.7,56.6,29.6,9.6,203.6
Swampscott,2910000,11,38.8,62.5,69.4,70.5,53.3,15.8,321.3
Swansea,2920000,7.1,32.8,63.2,48.5,63.6,28.6,5.8,249.6
TEC Connections Academy Commonwealth Virtual School District,39020000,6,47,42,24.9,19.1,11,1.7,151.6
Tantasqua,7700000,5,29.6,38,40,56.3,40.1,7.5,216.5
Taunton,2930000,29.9,146.7,177.3,169.1,216.8,140,18.2,898
Tewksbury,2950000,24,97,63.4,99.1,112.5,75.5,16.5,488
Tisbury,2960000,0.4,4.6,14,18.6,24.4,12.8,1.6,76.3
Topsfield,2980000,8.8,11.8,10.4,26.1,28.9,17.7,4,107.7
Tri-County Regional Vocational Technical,8780000,5.8,10,22.8,29,31.8,36,3.8,139.2
Triton,7730000,14,45.9,60.1,67,90.4,71.1,20.6,369.2
Truro,3000000,3,0,8.6,4.4,8,3.6,5.2,32.8
Tyngsborough,3010000,12,22.9,45.8,54.2,42.9,30.6,5.7,214.2
UP Academy Charter School of Boston (District),4800000,8,22,16,3,2,2,0,53
UP Academy Charter School of Dorchester (District),35050000,12,41,12,2,4,0,1,72
Up-Island Regional,7740000,5.2,10.3,18.8,14.1,24,13.3,5.3,91
Upper Cape Cod Regional Vocational Technical,8790000,5,15,16,15.5,34.2,15,6,106.7
Uxbridge,3040000,12.5,26.7,34,54.1,63.6,43,6,240
Veritas Preparatory Charter School (District),4980000,10,19,21,4.5,2,1,0,57.5
Wachusett,7750000,17.9,110.1,165,194.1,219.9,137.2,27.5,871.7
Wakefield,3050000,16,62.8,115.8,84.3,97.8,60.8,21.5,458.9
Wales,3060000,1.9,3,0,8,5.6,4.1,1,23.5
Walpole,3070000,34.8,67.3,77,100.6,137.8,76,10.4,503.8
Waltham,3080000,60.8,190.7,169.3,167.1,169.8,95.5,25.6,878.7
Ware,3090000,9,19.8,38.1,28.8,36.8,31,9.2,172.7
Wareham,3100000,10.5,35.7,45.5,55.9,95.3,66.2,9.4,318.5
Watertown,3140000,11,97.7,113.2,72.3,80.7,63.8,10,448.6
Wayland,3150000,24.9,50.7,76.7,112.9,116,66.1,14.3,461.5
Webster,3160000,11,30,53,55.8,61.7,40.7,2.6,254.8
Wellesley,3170000,48.7,160.4,169.7,182.5,175.1,100.7,26.3,863.4
Wellfleet,3180000,0,4.5,4.5,3.1,6.2,8.8,2.3,29.4
West Boylston,3220000,4.8,20.1,24.8,36.8,34.3,16.9,4.7,142.4
West Bridgewater,3230000,9.7,19.8,33.4,45.6,22,19.7,6.5,156.6
West Springfield,3320000,30.1,86.7,107.1,115.1,151.9,94.4,24.5,609.7
Westborough,3210000,24.2,74.6,105,142.3,150.2,77.5,14.1,587.8
Westfield,3250000,32,69,122,154.5,202.5,118.7,27.3,726
Westford,3260000,14.5,49.2,126.1,151.6,186.2,92.3,22.1,641.9
Westhampton,3270000,2,2.6,4.5,6.7,6.4,3.6,0.2,26
Weston,3300000,15.6,46.2,67.1,86.5,87.4,54.6,20.3,377.5
Westport,3310000,5.1,19,35.5,55.1,58.1,39.4,10,222.1
Westwood,3350000,33.5,74,95.9,109.2,94,59.5,12.8,479
Weymouth,3360000,31.2,112.7,132.7,213,183.8,123.6,24,821
Whately,3370000,2,5.7,2.8,7.3,6.7,9.9,0,34.4
Whitman-Hanson,7800000,26.4,77.9,104.4,65.7,106.4,50.1,13.1,444
Whittier Regional Vocational Technical,8850000,1,9.6,30.3,24.7,40.7,24.9,5.8,137
Williamsburg,3400000,2,7,7.6,5.5,3.1,4.1,0.2,29.5
Wilmington,3420000,19.5,64.9,97,106,102.6,56.4,8,454.3
Winchendon,3430000,6,14,22.5,30.5,43,31,8,155
Winchester,3440000,29.1,100.7,108.6,111.4,114.2,91.6,23.4,579.1
Winthrop,3460000,16.1,66.8,54.4,32,50.5,32.2,9.2,261.2
Woburn,3470000,19.7,78.6,130.8,125.2,150,101.8,22.6,628.6
Worcester,3480000,199,555.4,691,701.6,846,532.8,159.2,"3,685.10"
Worthington,3490000,3.6,4.3,0.5,3,4.1,0.2,0.2,15.9
Wrentham,3500000,7,20.4,28.1,29.6,42.3,26.7,2,156
State Totals,0,"7,180.90","22,021.70","26,969.90","27,805.50","28,666.40","19,110.50","4,594.80","1,36,349.70"
