District/School Name,District/School Code,African American (#),Asian (#),Hispanic (#),White (#),Native American (#),"Native Hawaiian, Pacific Islander (#)","Multi-Race,Non-Hispanic (#)",Females (#),Males (#),FTE Count
Sturbridge,2870000,0,0,1,128.9,0,0,0,121.7,8.2,129.9
Sturgis Charter Public (District),4890000,1,1,5.5,140.7,0,0,0,103.1,45.1,148.2
Sudbury,2880000,6,4,11.9,375,0,0,5.6,340.4,62.1,402.5
Sunderland,2890000,0,3,1,58.5,0,0,0,51.5,11,62.5
Sutton,2900000,2,0,0,201.6,0,0,0,163.4,40.3,203.6
Swampscott,2910000,4,1,7,306.3,0,0,3,267.1,54.2,321.3
Swansea,2920000,1,1,1.1,246.5,0,0,0,183.5,66.1,249.6
TEC Connections Academy Commonwealth Virtual School District,39020000,2,7,5,137.6,0,0,0,111.7,39.9,151.6
Tantasqua,7700000,1.4,0,2.8,211.3,0,0,1,149.4,66.2,216.5
Taunton,2930000,17,6,19.5,853.5,0,0,2,736.7,161.2,898
Tewksbury,2950000,2.5,9,12,464.5,0,0,0,404.5,82.5,488
Tisbury,2960000,1.3,0.2,3.4,70.4,0,0,1,65,11.3,76.3
Topsfield,2980000,0,0,1.8,105.9,0,0,0,99.9,7.8,107.7
Tri-County Regional Vocational Technical,8780000,0,1,0,138.2,0,0,0,84.4,54.8,139.2
Triton,7730000,2,2,0,365.2,0,0,0,290.9,78.3,369.2
Truro,3000000,0,0,1,31.8,0,0,0,29.4,3.4,32.8
Tyngsborough,3010000,0,1,3,210.2,0,0,0,165.7,48.5,214.2
UP Academy Charter School of Boston (District),4800000,15,0,4,34,0,0,0,37,16,53
UP Academy Charter School of Dorchester (District),35050000,19,0,6,47,0,0,0,57,15,72
Up-Island Regional,7740000,0.3,0,2.4,87.3,0,0,1,79.5,11.5,91
Upper Cape Cod Regional Vocational Technical,8790000,0,0,0,105.7,1,0,0,41.2,65.5,106.7
Uxbridge,3040000,0,1,0,239,0,0,0,200.6,39.4,240
Veritas Preparatory Charter School (District),4980000,14,1,6,35.5,0,0,1,45.5,12,57.5
Wachusett,7750000,3,1,4,862.7,0,1,0,721.6,150.2,871.7
Wakefield,3050000,1,3,3,449.9,1,0,1,365.5,93.4,458.9
Wales,3060000,0,0,0,22.5,0,0,1,21.1,2.5,23.5
Walpole,3070000,0,3.5,5.8,494,0,0,0.5,415.9,87.9,503.8
Waltham,3080000,18.2,17.6,59.3,775.6,0,2,6,701,177.7,878.7
Ware,3090000,1,0,6,165.7,0,0,0,138.7,34,172.7
Wareham,3100000,3.9,0,0,305.7,0,0,8.9,264.4,54.1,318.5
Watertown,3140000,4,3,39.5,399.1,0,0,3,342.3,106.3,448.6
Wayland,3150000,11,13,19.3,416.2,0,0,2,372.1,89.4,461.5
Webster,3160000,4,0,2,247.8,0,0,1,215.6,39.2,254.8
Wellesley,3170000,20.1,21.2,26.3,783.5,0,0,12.3,692.5,170.8,863.4
Wellfleet,3180000,0,0,0,29.4,0,0,0,26.9,2.5,29.4
West Boylston,3220000,1,0,2,139.4,0,0,0,115,27.4,142.4
West Bridgewater,3230000,0,0,1,153.6,0,0,2,128.8,27.8,156.6
West Springfield,3320000,5,3,12,588.7,0,1,0,495.4,114.3,609.7
Westborough,3210000,5,17.2,5,557.8,0,1,1.8,484.4,103.4,587.8
Westfield,3250000,9,5,8,700.9,2,0,1,587.1,138.8,726
Westford,3260000,2,15.8,6,617.1,0,0,1,538.3,103.6,641.9
Westhampton,3270000,0,0,0,26,0,0,0,22.7,3.3,26
Weston,3300000,7.7,16.4,12.3,340.1,0,0,1,283.7,93.8,377.5
Westport,3310000,0,0,0,222.1,0,0,0,185,37.1,222.1
Westwood,3350000,7,8.6,10,450.6,0,0,2.8,382.3,96.7,479
Weymouth,3360000,4,8,6,800,1,1,1,643.6,177.4,821
Whately,3370000,0,0,0,34.4,0,0,0,32.6,1.8,34.4
Whitman-Hanson,7800000,3.9,0.9,3.9,435.3,0,0,0,358,85.9,444
Whittier Regional Vocational Technical,8850000,0.8,0,1,135.3,0,0,0,73.8,63.3,137
Williamsburg,3400000,0,0,0,29.5,0,0,0,26.2,3.3,29.5
Wilmington,3420000,0.5,5,3,442.8,1,0,2,377.7,76.6,454.3
Winchendon,3430000,2,0,2,150,0,1,0,135,20,155
Winchester,3440000,4,3.8,4,566.4,0,0,0.9,474.8,103.5,579.1
Winthrop,3460000,0,4,1,256.2,0,0,0,206.4,54.7,261.2
Woburn,3470000,4.9,4.8,10,606.9,1,1,0,506.6,122,628.6
Worcester,3480000,151.8,56,381,"3,089.30",0,7,0,"2,956.20",728.8,"3,685.10"
Worthington,3490000,0,0,0,15.9,0,0,0,13.9,2,15.9
Wrentham,3500000,0,2,0.6,153.4,0,0,0,144.1,11.9,156
State Totals,0,"6,273.50","2,291.30","6,734.30","1,20,120.90",133.6,79.4,716.7,"1,08,536.10","27,782.90","1,36,349.70"
