DISTRICT,Org Code,PK-2 (# ),3-5 (# ),6-8 (# ),9-12 (# ),Multiple Grades (# ),All Grades (# ),FTE Count
KIPP Academy Lynn Charter (District),4290000,24.9,22.7,19.1,25.1,15.2,0,107
King Philip,6900000,0,0,44.8,79.7,6.3,2,132.9
Kingston,1450000,24,26.1,7.9,0,6,0,64
Lawrence,1490000,211.9,200.2,216.8,203.4,240.3,50.7,"1,123.30"
Lawrence Family Development Charter (District),4540000,21.6,14.9,16.5,0,9,0,62
Learning First Charter Public School (District),4860000,10.5,13,13.5,0,2,0,39
Lee,1500000,10.5,11.1,14.7,22.8,14.4,0,73.5
Leicester,1510000,23.8,20.5,18.6,22.4,11.4,4.2,100.9
Lenox,1520000,15.2,13.3,20.4,29.5,0,0,78.4
Leominster,1530000,88.4,75.3,81.3,94.9,14,24.4,378.3
Leverett,1540000,4.7,4.7,1.6,0,4,0,14.9
Lexington,1550000,77.4,99.7,162.8,178.4,102.7,0.4,621.4
Libertas Academy Charter School (District),35140000,0,0,24.8,0,3.2,0,28
Lincoln,1570000,42,32.8,34,0,17.5,0,126.3
Lincoln-Sudbury,6950000,0,0,0,124.4,0,1.4,125.8
Littleton,1580000,25.7,23.5,26.1,32.2,5.9,3.8,117.3
Longmeadow,1590000,40.6,41,43.6,56.8,46.3,18.6,246.9
Lowell,1600000,256.8,237.5,267.6,222,44,64.1,"1,092.00"
Lowell Community Charter Public (District),4560000,16.7,14.7,14.9,0,0,18.5,64.8
Lowell Middlesex Academy Charter (District),4580000,0,0,0,7,0,0,7
Ludlow,1610000,45.9,44.4,52,77.1,0,0.6,219.9
Lunenburg,1620000,23.7,21.9,27.3,23.7,12,0,108.7
Lynn,1630000,236.1,225.2,263.9,310.2,57.1,59.6,"1,152.10"
Lynnfield,1640000,31.6,28,33.6,47.1,8,10.4,158.6
MATCH Charter Public School (District),4690000,26,20,25,30.4,12.1,0,113.5
Ma Academy for Math and Science,4680000,0,0,0,6,0,0,6
Malden,1650000,117.7,105.7,104.3,116.2,24.5,5.1,473.5
Manchester Essex Regional,6980000,25,29.5,31.8,43.3,0,0,129.6
Mansfield,1670000,45.4,45.3,80.7,95.5,7.5,21.6,296
Map Academy Charter School (District),35170000,0,0,0,5.1,10.7,3.3,19
Marblehead,1680000,48.4,59.6,58.4,88.5,0,1.8,256.7
Marblehead Community Charter Public (District),4640000,0,9,12.3,0,0,0,21.3
Marion,1690000,14.6,12.1,5,0,1,0,32.7
Marlborough,1700000,107.2,81.6,93.6,92.8,6.7,14.2,396.1
Marshfield,1710000,55.1,53.5,68.1,98.6,57.5,0.5,333.4
Martha's Vineyard,7000000,0,0,0,68.6,4,1.9,74.6
Martha's Vineyard Charter (District),4660000,3.5,2.6,6.2,0.8,5.4,0,18.5
Martin Luther King Jr. Charter School of Excellence (District),4920000,18,16.5,0,0,6,0,40.5
Masconomet,7050000,0,0,42.9,52.8,18.4,14.5,128.6
Mashpee,1720000,38.5,28.9,34.8,40.1,1.1,0,143.3
Mattapoisett,1730000,16.5,15.8,5,0,0,0.5,37.8
Maynard,1740000,24.8,22.4,22.9,29.1,3.5,4.3,106.9
Medfield,1750000,35.8,38.6,53.3,60.7,0.2,12,200.6
Medford,1760000,63.3,57.5,90.8,89.5,82.6,0,383.8
Medway,1770000,38.6,29.4,41.5,30.6,28.5,0.6,169.3
Melrose,1780000,63.3,52.6,58.6,73.2,7,24.4,279.1
Mendon-Upton,7100000,32.1,34.9,39,45.3,1.1,4.1,156.5
Methuen,1810000,118,113.1,117.1,102.1,4.3,35.5,490
Middleborough,1820000,52.5,53.4,52.8,66.4,2,0.2,227.4
Middleton,1840000,29.6,23.3,9.4,0,5.5,0,67.8
Milford,1850000,84.2,77.8,76.7,93.4,0,6.1,338.2
Millbury,1860000,31,28.9,34.8,39.5,0,0.3,134.4
Millis,1870000,16,15.5,24.7,11.3,30.4,0,97.9
Milton,1890000,57.5,53.6,55.5,80.5,57.2,13.2,317.5
Minuteman Regional Vocational Technical,8300000,0,0,0,76.5,0,0,76.5
Mohawk Trail,7170000,17.2,15.4,14.9,21.6,0,0.3,69.4
Monomoy Regional School District,7120000,33.1,42.1,44.3,46.5,0,1.6,167.6
Monson,1910000,15.6,15.7,17.3,19.6,10.6,0.9,79.7
Montachusett Regional Vocational Technical,8320000,0,0,0,105,0,0,105
Mount Greylock,7150000,22.2,20.6,19.4,24.7,24.7,0,111.6
Mystic Valley Regional Charter (District),4700000,22.5,17.2,20.9,43.1,0.2,0,103.8
Nahant,1960000,5.5,3.7,1.2,0,1,0,11.4
Nantucket,1970000,39.1,29.7,35.5,47.7,1,1.3,154.3
Narragansett,7200000,18.3,19.4,27.8,15,18.4,0,99
Nashoba,7250000,44.6,53.8,72.1,47,45.7,2.2,265.4
Nashoba Valley Regional Vocational Technical,8520000,0,0,0,64.3,0,0,64.3
Natick,1980000,75.2,83.4,110.5,123.7,44,0,436.8
Nauset,6600000,0,0,50.6,77.8,0,4.4,132.8
Needham,1990000,71.5,72.7,112.2,103,35,27,421.4
Neighborhood House Charter (District),4440000,9.6,9.9,18.7,29.6,6.6,0,74.4
New Bedford,2010000,283.1,262.5,246,199.6,0,0,991.2
New Heights Charter School of Brockton (District),35130000,0,0,21.5,16.5,13.3,0,51.2
New Salem-Wendell,7280000,4.1,2.5,1,0,5,0,12.5
Newburyport,2040000,39,42.2,46.4,61.1,0,2,190.7
Newton,2070000,176.2,192.1,258.5,316.6,138,9.6,"1,091.00"
Norfolk,2080000,28.5,23.6,7.3,0,20.8,0,80.2
Norfolk County Agricultural,9150000,0,0,0,56.1,0,0,56.1
North Adams,2090000,27.7,21.9,19.4,5.7,45.8,1,121.5
North Andover,2110000,94.1,70.4,55.3,52.3,32.8,17.8,322.6
North Attleborough,2120000,63.5,58.5,70.9,79.1,0,19.7,291.7
North Brookfield,2150000,10.7,10.3,9.4,8.9,1.8,0.2,41.2
North Middlesex,7350000,53.4,59.1,64.8,57.8,1,6.6,242.6
North Reading,2170000,38.2,36.4,50.5,64.2,18.3,3.6,211.1
Northampton,2100000,36.2,32.8,57.2,58.6,34.9,14.6,234.3
Northampton-Smith Vocational Agricultural,4060000,0,0,0,57,0,0,57
Northboro-Southboro,7300000,0,0,0,54.1,59.3,0,113.4
Northborough,2130000,38.7,45.2,50.2,0,3.9,0,138
Northbridge,2140000,31.3,24.9,31.7,45,29.5,1,163.4
Northeast Metropolitan Regional Vocational Technical,8530000,0,0,0,115.1,0,1.2,116.3
Northern Berkshire Regional Vocational Technical,8510000,0,0,0,42.1,0,0.3,42.5
Norton,2180000,42,35.3,43.1,24.9,28.7,10.9,184.8
Norwell,2190000,28,29.1,35,48.7,19.6,0.5,160.8
Norwood,2200000,68,63.5,58.3,69.1,14.9,25.8,299.6
Oak Bluffs,2210000,13.8,10.5,11.9,0,9.8,1,46.9
Old Colony Regional Vocational Technical,8550000,0,0,0,54,6,0,60
Old Rochester,7400000,0,0,35,37.3,14.5,3.9,90.6
Old Sturbridge Academy Charter Public School (District),35150000,6,6,2,0,1,5,20
Orange,2230000,14.7,13.9,4,0,7.2,0,39.8
Orleans,2240000,8.6,11.4,0,0,0,0,20
Oxford,2260000,19.8,22.2,24.4,32.1,15.7,2.2,116.4
Palmer,2270000,27.3,23,30.6,24.6,3.9,1.7,111
Pathfinder Regional Vocational Technical,8600000,0,0,0,68.5,0,0,68.5
Paulo Freire Social Justice Charter School (District),35010000,0,0,0,21.2,0,0,21.2
Peabody,2290000,100.9,88.9,80.2,114.8,31.3,12.2,428.2
Pelham,2300000,3.8,3.8,1.3,0,3.4,0,12.2
Pembroke,2310000,37.9,33.7,39.2,44.1,25.8,5.3,186
Pentucket,7450000,40.7,43.5,41,36.6,7.9,11.7,181.3
Petersham,2340000,5.5,6,1.6,0,0,0,13
Phoenix Academy Public Charter High School Lawrence (District),35180000,0,0,0,0,10,0,10
Phoenix Academy Public Charter High School Springfield (District),35080000,0,0,0,0.1,4.2,3.3,7.6
Phoenix Charter Academy (District),4930000,0,0,0,5.3,8.4,0,13.7
Pioneer Charter School of Science (District),4940000,10.3,13.3,13.4,10.4,25,0,72.4
Pioneer Charter School of Science II (PCSS-II) (District),35060000,0,0,8.2,10.4,17.3,0,35.9
Pioneer Valley,7500000,16.9,13.1,15.7,14.8,0,0,60.6
Pioneer Valley Chinese Immersion Charter (District),4970000,16.2,13.3,17.4,13.7,8.9,1.2,70.6
Pioneer Valley Performing Arts Charter Public (District),4790000,0,0,7.6,5.7,27.7,0.3,41.3
Pittsfield,2360000,92,84.9,75.7,101.8,73.6,58.2,486.1
Plainville,2380000,20.6,14.2,4.4,0,5,0,44.2
Plymouth,2390000,136,132.2,123.5,200.2,36.3,5.5,633.7
Plympton,2400000,9,7.5,2.8,0,0,0,19.3
Prospect Hill Academy Charter (District),4870000,25.3,26.8,21.9,19,15.9,0,109
Provincetown,2420000,5.1,5.3,3.6,0,1,3.1,18.2
Quabbin,7530000,29.2,24,24.6,40.2,14.1,8.8,140.8
Quaboag Regional,7780000,18,16.8,20.3,12.6,28.1,0,95.8
Quincy,2430000,190.4,155.5,113.5,108.2,0,169.7,737.2
Ralph C Mahar,7550000,0,0,23.9,17.1,16.7,0,57.6
Randolph,2440000,49.4,43.2,41.4,49.3,28,1.1,212.4
Reading,2460000,61.5,50.1,82.3,87.4,27,7.7,316
Revere,2480000,111.9,108.5,132.6,89.4,114.6,4.1,561.1
Richmond,2490000,7.2,6.6,5.6,0,0,0,19.3
Rising Tide Charter Public (District),4830000,0,6.3,20.2,2.2,31.4,0,60.2
River Valley Charter (District),4820000,2.7,0.7,6.8,0,14.5,0,24.7
Rochester,2500000,15.3,17.9,5.9,0,1,1,41.1
Rockland,2510000,45.7,42.1,40.7,42.9,2.6,1.3,175.2
Rockport,2520000,17.5,14.5,27.3,29.8,0,0.2,89.2
Rowe,2530000,3.3,3.5,1.6,0,0,0,8.3
Roxbury Preparatory Charter (District),4840000,0,9.8,43.5,12.8,20.2,0,86.3
Sabis International Charter (District),4410000,17.7,20.1,20.7,25.8,0,1,85.3
Salem,2580000,88.9,74,56,89.6,3.3,11.9,323.6
Salem Academy Charter (District),4850000,0,0,19.3,24.5,0,0.7,44.4
Sandwich,2610000,44.5,44.2,47.7,18.2,54.5,0,209.1
Saugus,2620000,32.9,29.5,41.5,48.7,17,4.7,174.3
Savoy,2630000,1.8,1.8,1.5,0,0,0.5,5.6
Scituate,2640000,45.3,46.8,59,62.9,21.5,5.7,241.1
Seekonk,2650000,28.2,22.5,43.2,47.9,1.4,22.6,165.8
Sharon,2660000,44.9,43.4,61.8,54.8,39.6,0.3,244.8
Shawsheen Valley Regional Vocational Technical,8710000,0,0,0,124.6,0,0,124.6
Sherborn,2690000,14.6,13.6,0,0,5,0.3,33.5
Shrewsbury,2710000,71.6,72.5,95.9,59.9,101,0,400.8
Shutesbury,2720000,6.5,6.1,2,0,1,0,15.6
Silver Lake,7600000,5.1,0,37.3,51.6,33.3,6.3,133.6
Sizer School: A North Central Charter Essential (District),4740000,0,0,7.9,10.3,20.6,0,38.7
Somerset,2730000,37.2,39.6,44.2,0,1,2,124.1
Somerset Berkley Regional School District,7630000,0,0,0,74,3,0.1,77.2
Somerville,2740000,101,74.8,81.1,116.7,46.5,4.1,424.1
South Hadley,2780000,31.8,26.6,24.9,16.7,41.9,0,142
South Middlesex Regional Vocational Technical,8290000,0,0,0,83.1,0,0,83.1
South Shore Charter Public (District),4880000,24.8,21,23.9,31.7,0,0,101.4
South Shore Regional Vocational Technical,8730000,0,0,0,54.2,6,0,60.2
Southampton,2750000,14.5,12.3,4.3,0,7.3,0,38.4
Southborough,2760000,34.2,33.2,36.3,0,3.6,0,107.3
Southbridge,2770000,35.7,39.4,38.5,40.7,1,1.5,156.8
Southeastern Regional Vocational Technical,8720000,0,0,0,110.3,3,2,115.3
Southern Berkshire,7650000,13.9,12.6,14.1,25,8,0,73.7
Southern Worcester County Regional Vocational Technical,8760000,0,0,0,110.2,0,0,110.2
Southwick-Tolland-Granville Regional School District,7660000,28.9,21,31.5,34.8,0.5,8,124.7
Spencer-E Brookfield,7670000,26.3,23,21.3,24.2,9.7,0,104.4
Springfield,2810000,419.7,345.5,384.2,396.8,207.4,343.3,"2,096.70"
Springfield Preparatory Charter School (District),35100000,13.2,13.2,4,0,1,0,31.4
Stoneham,2840000,40.1,38.4,49.5,20.9,58.4,0,207.3
Stoughton,2850000,60.5,54.9,57,45.5,73.8,8.4,300.1
Sturbridge,2870000,29.2,21.4,8.1,0,13.5,0,72.2
Sturgis Charter Public (District),4890000,0,0,0,84.3,7.5,0,91.8
Sudbury,2880000,47.9,47,59.1,0,42.5,4.4,200.9
Sunderland,2890000,7.7,7,1.4,0,7,0,23.1
Sutton,2900000,19.5,22,19.9,29.4,0,1.8,92.6
Swampscott,2910000,32.7,33.8,46.2,56.8,12,4.3,185.7
Swansea,2920000,35.6,31.8,41.8,45.4,6,1.3,161.8
TEC Connections Academy Commonwealth Virtual School District,39020000,7,9.9,17.8,37.1,0,15,86.9
Tantasqua,7700000,0,0,45.7,83.5,1.1,1,131.3
Taunton,2930000,127.6,117.5,125.9,100.3,60,0,531.2
Tewksbury,2950000,57,56.8,59.4,64.7,11.5,3.2,252.6
Tisbury,2960000,10.2,10,9.4,0,10.3,0,39.8
Topsfield,2980000,21.6,20.9,7.3,0,5.9,0,55.7
Tri-County Regional Vocational Technical,8780000,0,0,0,84.2,0,0,84.2
Triton,7730000,30.1,28.3,34.5,53.8,35.1,12.8,194.5
Truro,3000000,5.1,4.1,0,0,5,0,14.2
Tyngsborough,3010000,20.9,22.7,34.1,11.9,34.6,0,124.2
UP Academy Charter School of Boston (District),4800000,0,0,34.3,0,1,0,35.3
UP Academy Charter School of Dorchester (District),35050000,16,14.8,14.9,0,0,0,45.7
Up-Island Regional,7740000,9.2,8.3,19,0,13.4,0,50
Upper Cape Cod Regional Vocational Technical,8790000,0,0,0,71.4,0.2,0,71.7
Uxbridge,3040000,29.6,24.5,29.3,38.5,11.6,1.7,135.1
Veritas Preparatory Charter School (District),4980000,0,9,22,0,0,0,31
Wachusett,7750000,104.3,94.7,111,106.1,36,1.6,453.6
Wakefield,3050000,51.5,58.4,63.1,69.1,23.6,0,265.6
Wales,3060000,4.2,3.2,1.1,0,1,0,9.5
Walpole,3070000,55.4,46.1,67,86.7,24.1,3.2,282.5
