District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Leominster,1530000,7.5,8.8,6.3,4.9,7.7,5,6.6,4.1,9.2,3.9,4.1,1.3,5.7
Leverett,1540000,14.3,17.6,10,5.6,0,0,,,,,,,7.5
Lexington,1550000,9.1,4.8,6.6,7.2,6,6.2,7.4,3.7,11.4,4.1,4.1,1.3,5.9
Libertas Academy Charter School (District),35140000,,,,,,,11.5,9.2,,,,,10.3
Lincoln,1570000,19.6,11.5,19.7,17.6,11.3,18.3,12.2,15.6,,,,,15.7
Lincoln-Sudbury,6950000,,,,,,,,,,1.9,3,2.1,2.3
Littleton,1580000,7,11.1,5.8,10.9,4.6,5.1,11.3,2.4,13.6,2.7,3,2.8,6.8
Longmeadow,1590000,6.7,7.7,8.1,5,6,5,3.4,2.7,8.8,2.8,4,2.7,5.2
Lowell,1600000,5.5,6,5.8,3.9,8.4,5.3,4.1,4.1,40.2,4.1,4.2,3,8.3
Lowell Community Charter Public (District),4560000,5.2,4.2,5.5,4.4,4.5,3.4,0,5.5,,,,,4.2
Lowell Middlesex Academy Charter (District),4580000,,,,,,,,,,0,4.3,0,1.4
Ludlow,1610000,9.6,5.3,7.6,5.6,2.4,5.4,4.8,2.5,6,3.9,2.7,1,4.5
Lunenburg,1620000,16.3,11,8.4,8.4,7.9,3.4,4.3,6.3,18.2,0,3.3,3.4,7.8
Lynn,1630000,6.2,6.3,5.9,5.5,4.9,7.9,6.4,4,8,4.2,4.7,3.3,5.6
Lynnfield,1640000,6.4,3,2.1,2.5,3.1,5.9,4.8,2.5,17,2.2,2.1,1.8,4.5
MATCH Charter Public School (District),4690000,5.5,1,6.2,7.2,9.5,9.3,8.6,8.9,12.9,2.3,2.5,4.3,6.6
Ma Academy for Math and Science,4680000,,,,,,,,,,,,2,2
Malden,1650000,8.5,7.5,7.5,5.2,8,6.9,8.1,7.3,20.8,6.4,7.4,4.7,8.3
Manchester Essex Regional,6980000,9.6,14.5,7,14.1,12.5,4.9,5.1,2.3,19.5,5.6,4,1.7,7.9
Mansfield,1670000,8.1,4.8,6.2,7.5,3.4,4.6,2.1,4.1,11.2,2.6,1.4,2.1,4.7
Map Academy Charter School (District),35170000,,,,,,,,,,10.2,0,5.8,5.8
Marblehead,1680000,13,8.5,10.1,18.9,8.9,10,3.1,5,12.7,5.1,5.1,1.6,8.4
Marblehead Community Charter Public (District),4640000,,,,,18.8,11.5,50,5.3,,,,,24.6
