District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
TEC Connections Academy Commonwealth Virtual School District,39020000,592,45.8,"2,661",56.4,43.6,1.2,18.8,44.9
Tantasqua,7700000,"1,186",14.8,"1,776",48.5,51.4,0.7,11.2,23.1
Taunton,2930000,"3,299",19.4,"7,861",49,51.1,6.1,20.1,52.3
Tewksbury,2950000,"1,487",17.9,"3,221",50.1,49.8,2.3,17.8,18.2
Tisbury,2960000,205,13.8,292,47.6,52.4,26,18.2,43.8
Topsfield,2980000,204,15.1,585,50.3,49.7,0.3,19.5,4.8
Tri-County Regional Vocational Technical,8780000,569,16.6,946,38.4,61.2,0.2,31,20.8
Triton,7730000,"1,124",16.9,"2,198",48.7,51.3,1.2,17.7,26.2
Truro,3000000,61,15.4,113,48.7,51.3,0,17.7,38.1
Tyngsborough,3010000,966,17.6,"1,604",49.4,50.6,5.2,19.4,20.1
UP Academy Charter School of Boston (District),4800000,138,22.1,364,47.3,52.8,24.5,27.8,80
UP Academy Charter School of Dorchester (District),35050000,138,31.9,722,50.4,49.6,33.1,15.4,75.8
Up-Island Regional,7740000,147,14.1,413,46.5,53.3,4.6,18.9,24
Upper Cape Cod Regional Vocational Technical,8790000,346,14.1,708,38.7,61.3,0,25.6,33.6
Uxbridge,3040000,859,16,"1,598",45.5,54.5,1.8,17.9,24.2
Veritas Preparatory Charter School (District),4980000,75,27,405,53.6,46.4,4.7,23.2,79.8
Wachusett,7750000,"3,032",18,"6,656",49.5,50.5,1.9,14.8,13.8
Wakefield,3050000,"1,476",16.1,"3,331",49,51,2.5,16.9,14.6
Wales,3060000,41,16.2,129,45,55,0.8,18.6,44.2
Walpole,3070000,"1,502",15.3,"3,659",50,49.9,3.8,14.4,13.2
Waltham,3080000,"3,761",13.5,"5,549",47.8,52.1,22.5,16.7,42.3
Ware,3090000,409,18.9,"1,168",49.1,50.9,1.7,20.8,58.8
Wareham,3100000,"1,319",13.5,"2,052",50.9,49,1.4,26.2,59.2
Watertown,3140000,"1,827",12.5,"2,552",47.9,52.1,14.4,20,32.6
Wayland,3150000,"1,372",16.3,"2,718",50.4,49.6,3.5,18.6,7.3
Webster,3160000,823,17.2,"1,679",47.6,52.4,12,22.6,64
Wellesley,3170000,"2,523",14.8,"4,442",50.5,49.4,1.9,17,7.1
Wellfleet,3180000,88,11.7,99,46.5,53.5,1,15.2,29.3
West Boylston,3220000,617,13.9,895,51.1,48.9,3.4,18,24.9
West Bridgewater,3230000,870,18.7,"1,414",49.7,50.4,2,10.7,20.8
West Springfield,3320000,"2,374",10.7,"3,917",48.6,51.4,10.2,18.3,50.7
Westborough,3210000,"1,998",15.8,"3,845",49.6,50.4,11.5,15.3,12.6
Westfield,3250000,"2,697",16,"4,927",48.5,51.5,5.4,21.8,42.6
Westford,3260000,"3,064",12.6,"4,759",49.9,50,2.2,16.1,7.7
Westhampton,3270000,65,12.7,110,41.8,58.2,0,27.3,26.4
Weston,3300000,"1,040",14.2,"1,905",49.1,50.8,3.6,17.1,6.6
Westport,3310000,846,15.2,"1,379",47,52.9,1.2,19.4,29.2
Westwood,3350000,"1,799",13,"2,970",48.5,51.5,0.9,19.4,6.4
Weymouth,3360000,"2,754",17.4,"5,698",49.6,50.4,5.9,20.7,35.7
Whately,3370000,87,14.3,116,50.9,49.1,2.6,12.1,19.8
Whitman-Hanson,7800000,"1,394",17.5,"3,611",48.7,51.3,0.9,17.3,24
Whittier Regional Vocational Technical,8850000,742,12.6,"1,236",47,53,1.3,19.1,34.6
Williamsburg,3400000,69,12.5,117,47,53,0.9,15.4,31.6
Wilmington,3420000,"1,859",14.9,"2,846",49.1,50.8,1.1,15.3,12.5
Winchendon,3430000,405,17.8,"1,191",46.3,53.7,1.4,23.9,50
Winchester,3440000,"3,451",12.8,"4,493",49.9,50,3.1,16.7,5.6
Winthrop,3460000,661,20.6,"1,847",50.6,49.3,7.2,16.4,32.2
Woburn,3470000,"2,985",13.8,"4,332",50.2,49.7,8.4,17.9,33.7
Worcester,3480000,"11,791",14.1,"20,660",48.8,51.2,26.8,20.6,63.7
Worthington,3490000,60,6,58,50,50,0,25.9,36.2
Wrentham,3500000,404,18.4,893,50.1,49.9,2.8,19.9,10.9
State Totals,0,"5,02,941",15.5,"9,12,474",48.6,51.3,10.5,18.8,37.3
