District Name,District Code,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total Count
Marshfield,01710000,  32.0,  45.9,   0.0,   5.6,   1.7,   0.3,   0.0,   0.7,  11.9,   2.0,     303
Martha's Vineyard,07000000,  35.4,  25.6,   0.0,   3.0,   3.0,   0.0,  22.6,   0.6,   0.6,   9.1,     164
Martha's Vineyard Charter (District),04660000,,,,,,,,,,,       5
Masconomet,07050000,  42.7,  34.4,   0.0,  12.2,   0.0,   2.5,   3.9,   0.0,   1.8,   2.5,     279
Mashpee,01720000,  25.0,  39.7,   0.0,  22.4,   0.0,   0.9,  11.2,   0.9,   0.0,   0.0,     116
Maynard,01740000,  28.9,  39.5,   1.3,  14.5,   0.0,   0.0,   2.6,   0.0,   2.6,  10.5,      76
Medfield,01750000,  51.5,  35.7,   0.0,   0.5,   0.0,   0.0,   0.0,   0.0,   0.5,  11.7,     196
Medford,01760000,  22.8,  29.6,   0.0,  17.0,   2.7,   2.4,  15.0,   1.0,   1.4,   8.2,     294
Medway,01770000,  41.7,  26.9,   0.0,   3.8,   0.0,   0.0,   1.9,   1.3,   1.3,  23.1,     156
Melrose,01780000,  37.9,  35.0,   0.0,   0.8,   0.4,   0.0,   0.8,   0.8,   2.1,  22.1,     240
Mendon-Upton,07100000,  33.1,  41.4,   0.6,   6.4,   0.0,   1.3,   5.7,   1.3,   0.6,   9.6,     157
Methuen,01810000,  18.4,  22.6,   0.2,  21.0,   3.0,   0.0,  12.6,   2.4,   0.0,  19.7,     461
Middleborough,01820000,  20.3,  33.2,   0.0,  14.4,   1.6,   1.1,  16.0,   1.6,   2.1,   9.6,     187
Milford,01850000,  24.5,  30.3,   0.0,   7.3,   0.4,   0.0,   7.3,   1.5,   1.1,  27.6,     261
Millbury,01860000,  28.9,  34.2,   0.0,  15.8,   2.6,   0.0,   0.0,   2.6,  13.2,   2.6,     114
Millis,01870000,  38.6,  38.6,   0.0,   8.0,   0.0,   0.0,   4.5,   2.3,   1.1,   6.8,      88
Milton,01890000,  46.5,  36.2,   0.0,   5.5,   4.1,   0.4,   2.6,   0.7,   1.5,   2.6,     271
Minuteman Regional Vocational Technical,08300000,  19.6,  24.6,   1.4,   8.7,   0.7,   8.7,  17.4,   2.2,  16.7,   0.0,     138
Mohawk Trail,07170000,  19.6,  29.4,   0.0,  19.6,   0.0,   0.0,  31.4,   0.0,   0.0,   0.0,      51
Monomoy Regional School District,07120000,  37.7,  21.9,   0.9,  25.4,   0.9,   0.9,   8.8,   1.8,   0.9,   0.9,     114
Monson,01910000,  32.1,  35.7,   1.8,  17.9,   1.8,   0.0,   8.9,   1.8,   0.0,   0.0,      56
Montachusett Regional Vocational Technical,08320000,  11.3,  23.6,   0.3,  18.8,   1.2,   0.0,  33.4,   1.5,   9.9,   0.0,     335
Mount Greylock,07150000,  46.4,  25.0,   1.2,  15.5,   3.6,   0.0,   4.8,   1.2,   2.4,   0.0,      84
Mystic Valley Regional Charter (District),04700000,  36.5,  54.1,   0.0,   3.5,   1.2,   0.0,   3.5,   0.0,   1.2,   0.0,      85
Nantucket,01970000,  29.7,  31.4,   1.7,   5.1,   0.0,   0.0,  31.4,   0.8,   0.0,   0.0,     118
Narragansett,07200000,  15.4,  23.1,   0.0,  21.2,   0.0,   0.0,   7.7,   3.8,  11.5,  17.3,      52
Nashoba,07250000,  44.2,  38.6,   0.4,   8.2,   0.0,   0.4,   4.7,   0.0,   0.9,   2.6,     233
Nashoba Valley Regional Vocational Technical,08520000,  10.5,  19.2,   0.0,  15.7,   2.9,   0.0,  37.2,   2.3,   0.0,  12.2,     172
Natick,01980000,  43.3,  40.8,   0.0,   5.8,   0.3,   1.0,   3.3,   1.5,   3.5,   0.5,     397
Nauset,06600000,  42.2,  29.3,   0.0,  13.8,   0.0,   0.0,   9.3,   0.0,   5.3,   0.0,     225
Needham,01990000,  53.8,  36.3,   0.0,   0.7,   0.7,   0.2,   0.7,   0.2,   0.2,   7.1,     422
Neighborhood House Charter (District),04440000,  24.5,  34.7,   2.0,  12.2,   0.0,   0.0,  12.2,   6.1,   4.1,   4.1,      49
New Bedford,02010000,   7.2,  16.4,   0.2,  24.4,   2.7,   0.2,  45.8,   1.2,   1.4,   0.4,     487
New Heights Charter School of Brockton (District),35130000,   0.0, 100.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,      86
Newburyport,02040000,  34.2,  49.0,   0.0,   5.9,   1.0,   0.0,   4.0,   0.5,   3.0,   2.5,     202
Newton,02070000,  53.7,  32.5,   0.3,   2.8,   0.6,   0.0,   2.0,   0.9,   3.7,   3.5,     974
Norfolk County Agricultural,09150000,  14.7,  41.9,   1.6,  12.4,   1.6,   0.0,  21.7,   1.6,   4.7,   0.0,     129
North Adams,02090000,  21.1,  25.0,   0.0,   5.3,   7.9,   0.0,  25.0,   1.3,   7.9,   6.6,      76
North Andover,02110000,  44.2,  31.3,   0.0,   9.7,   3.4,   0.0,   8.2,   1.6,   0.5,   1.1,     380
North Attleborough,02120000,  32.9,  38.4,   0.0,   9.3,   0.0,   0.0,   5.0,   0.4,   0.0,  14.0,     258
North Brookfield,02150000,   8.0,  20.0,   0.0,   4.0,   4.0,   0.0,  12.0,   0.0,   4.0,  48.0,      25
North Middlesex,07350000,  29.4,  38.2,   0.0,  13.7,   2.9,   0.0,   8.8,   1.0,   4.9,   1.0,     204
North Reading,02170000,  48.7,  38.0,   0.0,   3.2,   1.6,   0.5,   3.2,   0.5,   1.1,   3.2,     187
Northampton,02100000,  44.8,  21.7,   0.0,  14.0,   0.0,   2.7,   5.0,   0.5,   7.2,   4.1,     221
Northampton-Smith Vocational Agricultural,04060000,   5.8,   7.5,   0.0,  12.5,   6.7,   0.0,  51.7,   6.7,   0.8,   8.3,     120
Northboro-Southboro,07300000,  52.4,  35.1,   0.3,   4.2,   1.0,   0.0,   4.7,   0.0,   1.8,   0.5,     382
Northborough,02130000,,,,,,,,,,,       1
Northbridge,02140000,  23.0,  33.6,   0.0,   7.1,   3.5,   0.0,  23.9,   5.3,   0.9,   2.7,     113
Northeast Metropolitan Regional Vocational Technical,08530000,  17.6,  10.0,   1.3,   8.6,   1.7,   0.7,  41.5,   1.3,   0.0,  17.3,     301
Northern Berkshire Regional Vocational Technical,08510000,  11.9,  20.2,   0.9,  11.0,   5.5,   0.0,  44.0,   6.4,   0.0,   0.0,     109
Norton,02180000,  30.9,  37.0,   0.0,   7.7,   5.5,   0.0,   5.0,   2.2,   3.9,   7.7,     181
