District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Leicester,01510000,   5.1,   6.4,   5.4,   3.5,   4.3,   7.8,   4.2,   5.5,  28.1,   5.5,   4.1,   2.3,   6.9
Lenox,01520000,   0.0,   6.7,   6.0,   6.4,   9.4,  14.0,   1.7,   5.0,  16.9,   6.3,   6.2,   4.4,   6.9
Leominster,01530000,   7.8,   6.2,   7.2,  11.1,   6.8,   7.2,   6.8,   8.1,  13.1,   5.0,   5.5,   4.6,   7.4
Leverett,01540000,   0.0,   0.0,   0.0,   0.0,   0.0,   7.7,,,,,,,   1.0
Lexington,01550000,   5.4,   4.9,   6.5,   6.5,   4.3,   7.6,   5.9,   4.7,  12.7,   5.5,   3.7,   2.6,   5.9
Libertas Academy Charter School (District),35140000,,,,,,,  10.0,   9.4,  29.7,,,,  16.8
Lincoln,01570000,  14.7,  13.0,  15.4,  12.8,  16.8,  12.9,  12.5,  10.2,,,,,  13.7
Lincoln-Sudbury,06950000,,,,,,,,,,   3.3,   2.8,   1.3,   2.4
Littleton,01580000,   5.8,   2.7,   1.8,   3.0,   0.9,   3.1,   8.8,   1.6,  14.2,   2.5,   2.7,   1.0,   4.2
Longmeadow,01590000,   6.5,   4.8,   2.9,   2.6,   2.5,   5.6,   4.8,   3.4,   4.5,   3.1,   4.7,   2.5,   3.9
Lowell,01600000,   8.6,   8.1,   7.5,   7.9,  11.4,   7.0,   7.5,   7.1,  41.3,  10.1,   7.2,   4.9,  11.2
Lowell Community Charter Public (District),04560000,   5.2,   3.3,   1.1,   4.8,  10.3,   5.0,   4.8,   3.9,,,,,   4.8
Lowell Middlesex Academy Charter (District),04580000,,,,,,,,,,  30.4,  35.7,  21.1,  28.6
Ludlow,01610000,   3.6,   6.6,   6.0,   4.0,   7.5,   7.6,   5.4,   3.0,   4.3,   6.0,   6.0,   1.9,   5.1
Lunenburg,01620000,   6.7,   4.8,   6.9,   5.5,   2.7,   4.0,   8.7,   2.2,  19.7,   8.3,   7.3,   5.7,   6.9
Lynn,01630000,   7.5,   7.4,   6.8,   7.1,   9.4,  11.2,   7.5,   7.1,  10.4,   4.8,   7.9,   5.3,   7.7
Lynnfield,01640000,   5.3,   1.3,   3.6,   2.6,   1.9,   3.6,   3.3,   2.5,  15.8,   4.0,   3.6,   2.8,   4.2
Ma Academy for Math and Science,04680000,,,,,,,,,,,,   6.8,   6.8
Malden,01650000,  12.7,  13.0,   8.4,  11.0,   8.4,   8.3,  10.6,   9.4,  24.0,   8.2,   6.5,   4.3,  10.5
Manchester Essex Regional,06980000,   7.1,   5.0,   4.2,   3.4,   2.4,   9.5,   4.2,   2.7,  18.8,   5.5,   2.5,   4.0,   6.0
Mansfield,01670000,   4.5,   5.6,   4.5,   5.9,   3.2,   4.9,   4.3,   5.0,  18.5,   2.9,   2.6,   1.4,   5.2
Map Academy Charter School (District),35170000,,,,,,,,,,   7.1,   0.0,   4.7,   4.1
Marblehead,01680000,   4.3,   5.1,   6.1,  15.1,   3.6,   6.2,   6.7,   5.0,  14.0,   5.3,   3.1,   2.5,   6.5
Marblehead Community Charter Public (District),04640000,,,,,   6.0,  31.4,  13.0,   6.3,,,,,  15.0
Marion,01690000,   2.3,   8.9,   1.7,   7.1,   0.0,   0.0,,,,,,,   3.4
Marlborough,01700000,   5.3,   9.9,   8.2,   7.4,   7.2,  18.6,   9.0,   6.8,  45.1,   5.7,   4.7,   4.6,  11.8
Marshfield,01710000,   3.6,   0.8,   2.2,   2.4,   3.0,   4.1,   5.4,   3.8,   5.4,   4.2,   4.6,   1.2,   3.5
Martha's Vineyard,07000000,,,,,,,,,,   3.0,   7.0,   4.1,   4.8
Martha's Vineyard Charter (District),04660000,  10.0,  10.0,  12.5,   6.3,   9.1,  20.0,  22.2,   7.1,  76.5,  16.7,  33.3,  11.8,  20.5
Martin Luther King Jr. Charter School of Excellence (District),04920000,   7.6,  10.3,   8.3,   8.8,   6.6,,,,,,,,   8.3
