District Name,District Code,Students,Students Disciplined,% 1 Day,% 2 to 3 Days,% 4 to 7 Days,% 8 to 10 Days,% > 10 Days
Greenfield,1140000,"1,601",28,1.1,0.4,0.3,0,0
Greenfield Commonwealth Virtual District,39010000,"1,187",0,,,,,
Groton-Dunstable,6730000,"2,296",1,,,,,
Hadley,1170000,527,0,,,,,
Halifax,1180000,583,6,0.5,0.3,0.2,0,0
Hamilton-Wenham,6750000,"1,742",2,,,,,
Hampden Charter School of Science East (District),4990000,548,0,,,,,
Hampden Charter School of Science West (District),35160000,331,0,,,,,
Hampden-Wilbraham,6800000,"2,955",48,0.7,0.3,0.3,0.3,0
Hampshire,6830000,691,4,,,,,
Hancock,1210000,63,0,,,,,
Hanover,1220000,"2,657",13,0.1,0,0.2,0.2,0
Harvard,1250000,"1,036",2,,,,,
Hatfield,1270000,405,3,,,,,
Haverhill,1280000,"8,148",107,0.4,0.6,0.2,0,0
Hawlemont,6850000,132,0,,,,,
Helen Y. Davis Leadership Academy Charter Public (District),4190000,202,0,,,,,
Hill View Montessori Charter Public (District),4550000,315,2,,,,,
Hilltown Cooperative Charter Public (District),4500000,218,0,,,,,
Hingham,1310000,"4,012",11,0.2,0,0,0,0
Holbrook,1330000,"1,321",26,1.3,0.5,0.2,0.1,0
Holland,1350000,204,0,,,,,
Holliston,1360000,"2,803",7,0.1,0.1,0,0,0
Holyoke,1370000,"5,508",8,0.1,0.1,0,0,0
Holyoke Community Charter (District),4530000,712,0,,,,,
Hoosac Valley Regional,6030000,"1,065",2,,,,,
Hopedale,1380000,"1,111",1,,,,,
Hopkinton,1390000,"4,014",15,0.2,0.1,0,0,0
Hudson,1410000,"2,499",17,0.2,0.4,0.1,0,0
Hull,1420000,839,19,1.3,0.7,0,0.1,0.1
Innovation Academy Charter (District),4350000,798,2,,,,,
Ipswich,1440000,"1,630",13,0.2,0.4,0.1,0.1,0
KIPP Academy Boston Charter School (District),4630000,636,0,,,,,
KIPP Academy Lynn Charter (District),4290000,"1,623",1,,,,,
King Philip,6900000,"1,975",12,0.3,0.1,0.2,0,0
Kingston,1450000,"1,062",15,1,0.3,0.1,0,0
Lawrence,1490000,"13,838",11,0,0,0,0,0
Lawrence Family Development Charter (District),4540000,807,0,,,,,
Learning First Charter Public School (District),4860000,685,2,,,,,
Lee,1500000,698,13,0.7,0.7,0.4,0,0
Leicester,1510000,"1,426",25,0.6,0.5,0.5,0.1,0.1
Lenox,1520000,765,3,,,,,
Leominster,1530000,"6,130",35,0.1,0.4,0,0,0
Leverett,1540000,123,0,,,,,
Lexington,1550000,"7,068",3,,,,,
Libertas Academy Charter School (District),35140000,268,1,,,,,
Lincoln,1570000,"1,157",7,0.5,0.1,0,0,0
Lincoln-Sudbury,6950000,"1,531",16,0.1,0.7,0.1,0.2,0.1
Littleton,1580000,"1,606",6,0.1,0,0.1,0,0.1
Longmeadow,1590000,"2,808",16,0.2,0.3,0.1,0,0
Lowell,1600000,"14,767",107,0.3,0.3,0.1,0,0
Lowell Community Charter Public (District),4560000,811,6,0.2,0.4,0.1,0,0
Lowell Middlesex Academy Charter (District),4580000,100,0,,,,,
Ludlow,1610000,"2,457",30,0.3,0.5,0.3,0.1,0
Lunenburg,1620000,"1,652",0,,,,,
Lynn,1630000,"16,204",23,0,0.1,0,0,0
Lynnfield,1640000,"2,198",3,,,,,
MATCH Charter Public School (District),4690000,"1,240",3,,,,,
Ma Academy for Math and Science,4680000,98,0,,,,,
Malden,1650000,"6,534",19,0.2,0.1,0,0,0
Manchester Essex Regional,6980000,"1,294",2,,,,,
Mansfield,1670000,"3,592",20,0.2,0.2,0.1,0,0
Map Academy Charter School (District),35170000,224,5,,,,,
Marblehead,1680000,"2,761",18,0.4,0.1,0.1,0.1,0
Marblehead Community Charter Public (District),4640000,224,2,,,,,
Marion,1690000,424,1,,,,,
Marlborough,1700000,"5,002",33,0.3,0.2,0.1,0,0
Marshfield,1710000,"3,863",13,0.2,0.2,0,0,0
Martha's Vineyard,7000000,705,0,,,,,
Martha's Vineyard Charter (District),4660000,182,1,,,,,
Martin Luther King Jr. Charter School of Excellence (District),4920000,370,2,,,,,
Masconomet,7050000,"1,699",11,0.4,0.2,0,0,0
Mashpee,1720000,"1,536",0,,,,,
Mattapoisett,1730000,417,0,,,,,
Maynard,1740000,"1,235",3,,,,,
Medfield,1750000,"2,555",5,,,,,
Medford,1760000,"4,109",9,0,0.1,0,0,0
Medway,1770000,"2,114",28,0.3,0.5,0.4,0,0.1
Melrose,1780000,"3,821",8,0.2,0,0,0,0
Mendon-Upton,7100000,"2,221",31,0.6,0.4,0.3,0.1,0
Methuen,1810000,"6,814",73,0.5,0.3,0.2,0,0
Middleborough,1820000,"2,996",19,0.2,0.2,0.2,0,0
Middleton,1840000,697,1,,,,,
Milford,1850000,"4,443",82,0.2,0.8,0.6,0,0.2
Millbury,1860000,"1,627",32,0.6,0.7,0.6,0.1,0
Millis,1870000,"1,184",0,,,,,
Milton,1890000,"4,454",12,0,0.2,0,0,0
Minuteman Regional Vocational Technical,8300000,637,18,0.6,0.6,0.9,0.3,0.3
Mohawk Trail,7170000,778,4,,,,,
Monomoy Regional School District,7120000,"1,818",35,1.1,0.6,0.3,0,0
Monson,1910000,881,1,,,,,
Montachusett Regional Vocational Technical,8320000,"1,426",64,1.7,1.4,1.1,0.2,0.1
Mount Greylock,7150000,"1,119",8,0.3,0.1,0.3,0.1,0
Mystic Valley Regional Charter (District),4700000,"1,664",24,0.7,0.4,0.2,0.1,0
Nahant,1960000,159,0,,,,,
Nantucket,1970000,"1,728",20,0.5,0.6,0.1,0,0
Narragansett,7200000,"1,397",14,0.5,0.3,0.1,0,0.1
Nashoba,7250000,"3,156",11,0.1,0.2,0,0,0
Nashoba Valley Regional Vocational Technical,8520000,735,13,0,0.4,0.8,0.4,0.1
Natick,1980000,"5,385",15,0.2,0.1,0,0,0
Nauset,6600000,"1,473",18,0.5,0.4,0.2,0.1,0.1
Needham,1990000,"5,573",11,0.2,0,0,0,0
Neighborhood House Charter (District),4440000,815,7,0.2,0.4,0.1,0,0.1
New Bedford,2010000,"13,242",139,0.2,0.5,0.2,0.1,0
New Heights Charter School of Brockton (District),35130000,758,0,,,,,
New Salem-Wendell,7280000,136,0,,,,,
Newburyport,2040000,"2,175",3,,,,,
Newton,2070000,"12,381",33,0.2,0.1,0,0,0
Norfolk,2080000,"1,002",1,,,,,
Norfolk County Agricultural,9150000,587,17,1.2,0.2,1,0.5,0
North Adams,2090000,"1,339",10,0.1,0.5,0.1,0.1,0
North Andover,2110000,"4,635",0,,,,,
North Attleborough,2120000,"4,096",12,0,0.1,0.1,0,0
North Brookfield,2150000,543,13,1.1,0.7,0.6,0,0
North Middlesex,7350000,"3,022",24,0.2,0.3,0.2,0.1,0
North Reading,2170000,"2,350",7,0.2,0.1,0,0,0
Northampton,2100000,"2,689",7,0.1,0.1,0,0,0
Northampton-Smith Vocational Agricultural,4060000,537,17,0.7,0.9,1.3,0.2,0
Northboro-Southboro,7300000,"1,371",4,,,,,
Northborough,2130000,"1,578",2,,,,,
Northbridge,2140000,"2,007",25,0.4,0.6,0.1,0.1,0
Northeast Metropolitan Regional Vocational Technical,8530000,"1,299",27,0.8,0.8,0.5,0.1,0
Northern Berkshire Regional Vocational Technical,8510000,510,1,,,,,
Norton,2180000,"2,440",34,0.5,0.4,0.5,0,0
Norwell,2190000,"2,228",14,0.5,0,0,0,0
Norwood,2200000,"3,521",23,0.4,0.2,0.1,0,0
Oak Bluffs,2210000,457,0,,,,,
Old Colony Regional Vocational Technical,8550000,566,16,1.6,0.7,0.5,0,0
Old Rochester,7400000,"1,147",7,0.3,0.3,0,0,0
Old Sturbridge Academy Charter Public School (District),35150000,282,0,,,,,
Orange,2230000,480,1,,,,,
Orleans,2240000,184,0,,,,,
Oxford,2260000,"1,524",22,0.4,0.5,0.4,0.1,0.1
Palmer,2270000,"1,265",30,0.6,0.7,0.9,0.1,0.1
Pathfinder Regional Vocational Technical,8600000,616,20,0.6,1.5,0.2,0.6,0.3
Paulo Freire Social Justice Charter School (District),35010000,273,1,,,,,
Peabody,2290000,"5,997",39,0.4,0.2,0.1,0,0
Pelham,2300000,113,0,,,,,
Pembroke,2310000,"2,647",17,0.1,0.2,0.2,0,0.1
Pentucket,7450000,"2,276",32,0.3,0.8,0.2,0.1,0
Petersham,2340000,122,2,,,,,
Phoenix Academy Public Charter High School Lawrence (District),35180000,172,3,,,,,
Phoenix Academy Public Charter High School Springfield (District),35080000,226,1,,,,,
Phoenix Charter Academy (District),4930000,232,0,,,,,
Pioneer Charter School of Science (District),4940000,805,0,,,,,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,377,2,,,,,
Pioneer Valley,7500000,651,9,0.6,0.6,0.2,0,0
Pioneer Valley Chinese Immersion Charter (District),4970000,571,2,,,,,
Pioneer Valley Performing Arts Charter Public (District),4790000,410,5,,,,,
Pittsfield,2360000,"5,161",61,0.4,0.3,0.2,0.1,0.1
Plainville,2380000,663,2,,,,,
Plymouth,2390000,"7,319",262,1.8,0.8,0.4,0.2,0.2
Plympton,2400000,220,0,,,,,
Prospect Hill Academy Charter (District),4870000,"1,126",0,,,,,
Provincetown,2420000,161,0,,,,,
Quabbin,7530000,"2,185",36,0.2,0.7,0.5,0,0.2
Quaboag Regional,7780000,"1,203",8,0.2,0.2,0.1,0.1,0
Quincy,2430000,"9,893",68,0.2,0.3,0.2,0.1,0
Ralph C Mahar,7550000,640,4,,,,,
Randolph,2440000,"2,851",32,0.6,0.4,0.1,0.1,0
Reading,2460000,"4,026",3,,,,,
Revere,2480000,"7,561",15,0.1,0.1,0,0,0
Richmond,2490000,154,0,,,,,
Rising Tide Charter Public (District),4830000,687,8,0.6,0.4,0.1,0,0
River Valley Charter (District),4820000,293,0,,,,,
Rochester,2500000,493,0,,,,,
Rockland,2510000,"2,259",24,0.4,0.2,0.4,0,0
Rockport,2520000,787,11,0.3,0.9,0,0.3,0
Rowe,2530000,63,0,,,,,
Roxbury Preparatory Charter (District),4840000,"1,664",0,,,,,
Sabis International Charter (District),4410000,"1,597",17,0.8,0,0.2,0.1,0
Salem,2580000,"3,964",29,0.2,0.4,0.2,0,0
Salem Academy Charter (District),4850000,495,2,,,,,
Sandwich,2610000,"2,409",15,0.4,0.2,0,0,0
Saugus,2620000,"2,533",43,0.6,0.7,0.2,0.1,0.1
Savoy,2630000,47,0,,,,,
Scituate,2640000,"2,899",21,0.1,0.2,0,0.3,0.1
Seekonk,2650000,"2,112",27,0.4,0.6,0.2,0.1,0
Sharon,2660000,"3,576",17,0.3,0.1,0.1,0,0
Shawsheen Valley Regional Vocational Technical,8710000,"1,315",47,0.7,1.9,0.9,0,0.1
Sherborn,2690000,395,0,,,,,
Shrewsbury,2710000,"6,157",21,0.1,0.2,0,0,0
Shutesbury,2720000,118,0,,,,,
Silver Lake,7600000,"1,758",21,0.4,0.6,0.2,0,0
Sizer School: A North Central Charter Essential (District),4740000,379,2,,,,,
Somerset,2730000,"1,660",22,0.8,0.4,0.2,0,0
Somerset Berkley Regional School District,7630000,"1,019",6,0.2,0.4,0,0,0
Somerville,2740000,"4,856",27,0.2,0.3,0.1,0,0
South Hadley,2780000,"1,828",1,,,,,
South Middlesex Regional Vocational Technical,8290000,831,3,,,,,
South Shore Charter Public (District),4880000,"1,035",12,0.7,0.4,0.1,0,0
South Shore Regional Vocational Technical,8730000,647,44,2.2,2.8,0.6,1.1,0.2
Southampton,2750000,464,0,,,,,
Southborough,2760000,"1,264",1,,,,,
Southbridge,2770000,"2,033",81,1.5,1,0.8,0.3,0.3
Southeastern Regional Vocational Technical,8720000,"1,543",14,0.5,0.3,0.2,0,0
Southern Berkshire,7650000,676,0,,,,,
Southern Worcester County Regional Vocational Technical,8760000,"1,173",29,0.3,0.5,1,0.3,0.3
Southwick-Tolland-Granville Regional School District,7660000,"1,428",12,0.2,0.4,0.1,0.1,0
Spencer-E Brookfield,7670000,"1,389",11,0.2,0.3,0.1,0,0.1
Springfield,2810000,"25,464",47,0,0.1,0,0,0
Springfield Preparatory Charter School (District),35100000,382,2,,,,,
Stoneham,2840000,"2,323",18,0.5,0.2,0.1,0,0
Stoughton,2850000,"3,525",1,,,,,
Sturbridge,2870000,827,0,,,,,
Sturgis Charter Public (District),4890000,870,3,,,,,
Sudbury,2880000,"2,576",14,0.4,0.1,0,0,0
Sunderland,2890000,206,0,,,,,
Sutton,2900000,"1,299",0,,,,,
Swampscott,2910000,"2,198",6,0,0.2,0,0,0
Swansea,2920000,"2,076",26,0.2,0.7,0.1,0.1,0
TEC Connections Academy Commonwealth Virtual School District,39020000,"2,884",0,,,,,
Tantasqua,7700000,"1,787",23,0.2,0.4,0.4,0.3,0.1
Taunton,2930000,"8,048",89,0.4,0.2,0.3,0.1,0
Tewksbury,2950000,"3,304",15,0.1,0.2,0.1,0,0
Tisbury,2960000,318,0,,,,,
Topsfield,2980000,603,1,,,,,
Tri-County Regional Vocational Technical,8780000,957,39,1.4,2.2,0.5,0,0
Triton,7730000,"2,266",29,0.8,0.5,0,0,0
Truro,3000000,116,0,,,,,
Tyngsborough,3010000,"1,620",3,,,,,
UP Academy Charter School of Boston (District),4800000,360,2,,,,,
UP Academy Charter School of Dorchester (District),35050000,713,5,,,,,
Up-Island Regional,7740000,433,4,,,,,
Upper Cape Cod Regional Vocational Technical,8790000,725,36,0.8,1.1,1.8,1,0.3
Uxbridge,3040000,"1,700",20,0.4,0.5,0.2,0,0.1
Veritas Preparatory Charter School (District),4980000,420,0,,,,,
Wachusett,7750000,"6,816",9,0.1,0,0,0,0
Wakefield,3050000,"3,356",5,,,,,
Wales,3060000,131,0,,,,,
Walpole,3070000,"3,742",21,0.3,0.1,0.2,0.1,0
Waltham,3080000,"5,806",16,0.2,0.1,0,0,0
Ware,3090000,"1,210",12,0.4,0.2,0,0.4,0
Wareham,3100000,"2,108",30,0.7,0.2,0.4,0,0
Watertown,3140000,"2,611",30,0.5,0.2,0.2,0.2,0
Wayland,3150000,"2,735",24,0.5,0.1,0.3,0,0
Webster,3160000,"1,781",39,1.1,0.6,0.3,0.1,0.1
Wellesley,3170000,"4,519",13,0.2,0.1,0,0,0
Wellfleet,3180000,106,0,,,,,
West Boylston,3220000,926,17,0.8,0.2,0.6,0.2,0
West Bridgewater,3230000,"1,424",23,0.4,0.6,0.3,0.3,0.1
West Springfield,3320000,"4,075",13,0,0.2,0,0,0
Westborough,3210000,"4,000",9,0.1,0.1,0,0,0
Westfield,3250000,"5,082",63,0.5,0.5,0.2,0.1,0
Westford,3260000,"4,854",23,0.3,0.1,0,0,0
Westhampton,3270000,111,0,,,,,
Weston,3300000,"1,939",5,,,,,
Westport,3310000,"1,408",0,,,,,
Westwood,3350000,"2,999",9,0.1,0.2,0.1,0,0
Weymouth,3360000,"5,816",94,0.5,0.6,0.4,0.1,0.1
Whately,3370000,119,0,,,,,
Whitman-Hanson,7800000,"3,685",30,0.2,0.2,0.3,0.1,0
Whittier Regional Vocational Technical,8850000,"1,256",21,0,0.5,0.5,0.7,0
Williamsburg,3400000,122,0,,,,,
Wilmington,3420000,"2,915",9,0.1,0.1,0,0,0
Winchendon,3430000,"1,257",9,0.2,0.5,0.1,0,0
Winchester,3440000,"4,569",11,0.1,0.1,0,0,0
Winthrop,3460000,"1,901",4,,,,,
Woburn,3470000,"4,478",6,0,0,0.1,0,0
Worcester,3480000,"25,006",34,0,0,0,0,0
Worthington,3490000,64,1,,,,,
Wrentham,3500000,906,0,,,,,
State Totals,0,"9,33,897","6,480",0.3,0.2,0.1,0,0
