District Name,District Code,# Enrolled,# Retained,% Retained,1,2,3,4,5,6,7,8,9,10,11,12
Shawsheen Valley Regional Vocational Technical,8710000,"1,308",2,0.2,,,,,,,,,0,1,0,1
Sherborn,2690000,323,0,0,0,0,0,0,0,,,,,,,
Shrewsbury,2710000,"5,577",10,0.2,1,2,1,1,2,0,0,0,0,0,1,2
Shutesbury,2720000,91,1,1.1,1,0,0,0,0,0,,,,,,
Silver Lake,7600000,"1,592",1,0.1,,,,,,,0,1,0,0,0,0
Sizer School: A North Central Charter Essential (District),4740000,366,0,0,,,,,,,0,0,0,0,0,0
Somerset,2730000,"1,440",1,0.1,1,0,0,0,0,0,0,0,,,,
Somerset Berkley Regional School District,7630000,"1,000",8,0.8,,,,,,,,,0,1,0,7
Somerville,2740000,"4,059",22,0.5,0,1,1,0,0,0,0,0,11,4,2,3
South Hadley,2780000,"1,610",7,0.4,0,2,0,2,1,0,1,0,1,0,0,0
South Middlesex Regional Vocational Technical,8290000,817,4,0.5,,,,,,,,,1,1,2,0
South Shore Charter Public (District),4880000,965,3,0.3,0,0,0,0,0,0,0,0,1,1,1,0
South Shore Regional Vocational Technical,8730000,646,1,0.2,,,,,,,,,0,0,1,0
Southampton,2750000,360,1,0.3,1,0,0,0,0,0,,,,,,
Southborough,2760000,"1,028",1,0.1,0,0,0,0,0,1,0,0,,,,
Southbridge,2770000,"1,671",91,5.4,0,0,0,0,0,0,0,0,50,21,11,9
Southeastern Regional Vocational Technical,8720000,"1,527",7,0.5,,,,,,,,,4,2,1,0
Southern Berkshire,7650000,544,4,0.7,2,1,0,0,0,0,0,0,0,0,0,1
Southern Worcester County Regional Vocational Technical,8760000,"1,171",2,0.2,,,,,,,,,1,0,1,0
Southwick-Tolland-Granville Regional School District,7660000,"1,285",4,0.3,1,0,0,0,1,0,0,1,0,0,1,0
Spencer-E Brookfield,7670000,"1,196",4,0.3,1,0,0,0,0,0,0,1,0,1,0,1
Springfield,2810000,"21,289",590,2.8,68,41,9,6,4,2,6,0,211,103,51,89
Springfield Preparatory Charter School (District),35100000,324,11,3.4,5,1,2,3,0,0,,,,,,
Stoneham,2840000,"2,022",5,0.2,1,1,0,0,0,0,0,0,1,0,0,2
Stoughton,2850000,"3,072",19,0.6,2,1,1,0,0,0,0,1,4,8,1,1
Sturbridge,2870000,661,3,0.5,1,0,1,0,0,1,,,,,,
Sturgis Charter Public (District),4890000,853,1,0.1,,,,,,,,,0,1,0,0
Sudbury,2880000,"2,283",6,0.3,2,2,1,0,0,0,1,0,,,,
Sunderland,2890000,155,0,0,0,0,0,0,0,0,,,,,,
Sutton,2900000,"1,161",4,0.3,1,1,0,0,0,0,0,0,0,0,0,2
Swampscott,2910000,"1,960",9,0.5,1,0,1,0,0,0,0,1,0,0,0,6
Swansea,2920000,"1,842",9,0.5,2,1,0,0,0,0,1,1,3,1,0,0
TEC Connections Academy Commonwealth Virtual School District,39020000,"2,463",248,10.1,0,1,1,1,1,2,5,4,106,81,30,16
Tantasqua,7700000,"1,770",25,1.4,,,,,,,0,0,13,8,2,2
Taunton,2930000,"7,040",64,0.9,2,0,1,3,0,0,0,13,20,7,8,10
Tewksbury,2950000,"2,804",3,0.1,0,0,0,0,0,0,0,0,0,0,2,1
Tisbury,2960000,239,0,0,0,0,0,0,0,0,0,0,,,,
Topsfield,2980000,483,0,0,0,0,0,0,0,0,,,,,,
Tri-County Regional Vocational Technical,8780000,953,2,0.2,,,,,,,,,1,1,0,0
Triton,7730000,"1,965",14,0.7,3,1,1,0,1,0,0,0,5,2,1,0
Truro,3000000,78,0,0,0,0,0,0,0,,,,,,,
Tyngsborough,3010000,"1,441",1,0.1,0,0,1,0,0,0,0,0,0,0,0,0
UP Academy Charter School of Boston (District),4800000,349,0,0,,,,,,0,0,0,,,,
UP Academy Charter School of Dorchester (District),35050000,566,1,0.2,1,0,0,0,0,0,0,0,,,,
Up-Island Regional,7740000,347,1,0.3,0,0,0,1,0,0,0,0,,,,
Upper Cape Cod Regional Vocational Technical,8790000,722,0,0,,,,,,,,,0,0,0,0
Uxbridge,3040000,"1,479",23,1.6,1,0,0,0,0,0,0,0,10,4,2,6
Veritas Preparatory Charter School (District),4980000,419,22,5.3,,,,,9,5,7,1,,,,
Wachusett,7750000,"6,049",20,0.3,6,2,1,3,3,2,0,0,0,0,0,3
Wakefield,3050000,"2,972",5,0.2,2,0,0,0,0,0,1,0,0,0,1,1
Wales,3060000,96,0,0,0,0,0,0,0,0,,,,,,
Walpole,3070000,"3,280",12,0.4,1,0,0,0,0,0,0,1,0,0,5,5
Waltham,3080000,"4,987",26,0.5,5,4,0,0,0,0,0,0,6,1,5,5
Ware,3090000,"1,032",21,2,0,0,0,0,0,0,0,0,14,5,2,0
Wareham,3100000,"1,771",57,3.2,5,1,0,0,1,0,1,17,26,2,3,1
Watertown,3140000,"2,254",19,0.8,5,0,0,0,0,0,0,0,4,2,1,7
Wayland,3150000,"2,498",3,0.1,0,0,0,0,0,0,2,0,0,0,0,1
Webster,3160000,"1,543",32,2.1,0,0,1,0,1,2,3,1,7,5,11,1
Wellesley,3170000,"4,142",4,0.1,0,0,1,0,1,0,0,0,0,0,0,2
Wellfleet,3180000,89,0,0,0,0,0,0,0,,,,,,,
West Boylston,3220000,822,4,0.5,1,1,1,0,0,0,0,0,0,0,0,1
West Bridgewater,3230000,"1,217",4,0.3,1,2,0,0,1,0,0,0,0,0,0,0
West Springfield,3320000,"3,554",42,1.2,5,2,4,1,0,0,1,0,24,0,0,5
Westborough,3210000,"3,495",3,0.1,0,0,0,0,0,1,0,0,1,1,0,0
Westfield,3250000,"4,505",15,0.3,4,2,1,3,0,0,0,0,0,0,0,5
Westford,3260000,"4,395",6,0.1,1,0,1,0,0,0,0,0,0,0,0,4
Westhampton,3270000,89,0,0,0,0,0,0,0,0,,,,,,
Weston,3300000,"1,763",1,0.1,0,0,1,0,0,0,0,0,0,0,0,0
Westport,3310000,"1,215",12,1,0,0,1,0,0,0,0,1,6,2,2,0
Westwood,3350000,"2,705",1,0,0,0,0,0,0,0,0,0,0,0,0,1
Weymouth,3360000,"5,074",54,1.1,0,1,0,0,0,0,0,0,35,7,3,8
Whately,3370000,88,0,0,0,0,0,0,0,0,,,,,,
Whitman-Hanson,7800000,"3,292",14,0.4,0,0,0,0,0,0,0,0,0,0,0,14
Whittier Regional Vocational Technical,8850000,"1,249",0,0,,,,,,,,,0,0,0,0
Williamsburg,3400000,109,0,0,0,0,0,0,0,0,,,,,,
Wilmington,3420000,"2,618",4,0.2,1,1,1,0,0,0,0,0,1,0,0,0
Winchendon,3430000,"1,031",41,4,0,0,1,0,0,0,1,0,10,8,2,19
Winchester,3440000,"4,210",11,0.3,2,0,0,0,0,0,0,0,0,0,0,9
Winthrop,3460000,"1,721",15,0.9,1,2,0,0,0,1,0,0,5,4,1,1
Woburn,3470000,"3,878",13,0.3,3,0,0,0,0,0,0,0,1,3,2,4
Worcester,3480000,"21,604",191,0.9,49,18,6,3,3,1,2,5,49,19,14,22
Worthington,3490000,51,0,0,0,0,0,0,0,,,,,,,
Wrentham,3500000,712,0,0,0,0,0,0,0,0,,,,,,
State Totals,0,"8,31,182","6,772",0.8,569,272,157,101,79,81,107,119,"2,184","1,101",781,"1,221"
