District Name,District Code,# Enrolled,# Retained,% Retained,1,2,3,4,5,6,7,8,9,10,11,12
Marion,1690000,342,0,0,0,0,0,0,0,0,,,,,,
Marlborough,1700000,"4,129",8,0.2,3,1,0,0,0,0,0,0,0,2,2,0
Marshfield,1710000,"3,418",4,0.1,1,1,0,0,0,0,0,0,2,0,0,0
Martha's Vineyard,7000000,685,10,1.5,,,,,,,,,0,2,5,3
Martha's Vineyard Charter (District),4660000,164,1,0.6,0,0,1,0,0,0,0,0,0,,0,
Martin Luther King Jr. Charter School of Excellence (District),4920000,299,1,0.3,0,1,0,0,0,,,,,,,
Masconomet,7050000,"1,684",3,0.2,,,,,,,0,0,0,1,0,2
Mashpee,1720000,"1,321",6,0.5,1,0,3,0,0,0,0,0,0,2,0,0
Mattapoisett,1730000,336,0,0,0,0,0,0,0,0,,,,,,
Maynard,1740000,"1,064",7,0.7,2,1,0,0,0,0,0,0,1,0,1,2
Medfield,1750000,"2,310",7,0.3,1,0,1,0,0,0,0,0,0,2,1,2
Medford,1760000,"3,602",9,0.2,2,0,1,2,0,0,0,0,0,0,1,3
Medway,1770000,"1,904",1,0.1,0,0,0,0,0,0,0,0,0,0,0,1
Melrose,1780000,"3,277",6,0.2,0,0,2,1,0,0,0,0,1,0,2,0
Mendon-Upton,7100000,"1,980",3,0.2,0,0,0,0,0,0,0,0,0,0,3,0
Methuen,1810000,"6,003",53,0.9,1,1,0,0,0,0,1,0,6,30,6,8
Middleborough,1820000,"2,658",17,0.6,2,1,1,0,0,0,0,1,6,4,1,1
Middleton,1840000,520,2,0.4,1,1,0,0,0,0,,,,,,
Milford,1850000,"3,832",24,0.6,1,0,0,0,0,0,0,1,10,4,7,1
Millbury,1860000,"1,440",14,1,2,1,0,0,0,0,0,0,4,7,0,0
Millis,1870000,"1,032",8,0.8,0,0,0,0,0,0,0,0,6,1,1,0
Milton,1890000,"3,941",8,0.2,3,0,0,1,0,0,0,0,0,1,2,1
Minuteman Regional Vocational Technical,8300000,635,6,0.9,,,,,,,,,3,1,0,2
Mohawk Trail,7170000,641,3,0.5,2,1,0,0,0,0,0,0,0,0,0,0
Monomoy Regional School District,7120000,"1,634",2,0.1,0,0,0,0,0,1,0,0,1,0,0,0
Monson,1910000,757,12,1.6,4,0,0,0,0,0,0,0,6,2,0,0
Montachusett Regional Vocational Technical,8320000,"1,417",15,1.1,,,,,,,,,10,2,3,0
Mount Greylock,7150000,"1,018",1,0.1,0,0,0,0,0,0,0,0,0,1,0,0
Mystic Valley Regional Charter (District),4700000,"1,467",2,0.1,0,0,2,0,0,0,0,0,0,0,0,0
Nahant,1960000,106,1,0.9,1,0,0,0,0,0,,,,,,
Nantucket,1970000,"1,498",7,0.5,3,1,0,0,0,0,0,1,1,0,1,0
Narragansett,7200000,"1,184",9,0.8,1,0,1,1,0,0,0,0,2,1,3,0
Nashoba,7250000,"2,802",9,0.3,3,0,0,0,0,0,0,0,2,2,0,2
Nashoba Valley Regional Vocational Technical,8520000,725,2,0.3,,,,,,,,,2,0,0,0
Natick,1980000,"4,843",10,0.2,2,0,0,0,0,1,1,0,0,0,0,6
Nauset,6600000,"1,425",7,0.5,,,,,,0,2,0,0,3,1,1
Needham,1990000,"5,099",6,0.1,2,0,2,0,0,0,0,0,0,0,0,2
Neighborhood House Charter (District),4440000,734,11,1.5,0,0,0,0,1,0,0,0,7,2,1,0
New Bedford,2010000,"11,323",92,0.8,18,12,5,3,1,1,1,2,5,4,8,32
New Heights Charter School of Brockton (District),35130000,742,4,0.5,,,,,,0,0,0,0,2,2,0
New Salem-Wendell,7280000,104,0,0,0,0,0,0,0,0,,,,,,
Newburyport,2040000,"1,974",2,0.1,1,0,0,0,0,0,0,0,0,0,0,1
Newton,2070000,"11,196",23,0.2,4,0,1,0,0,0,1,0,0,3,1,13
Norfolk,2080000,773,5,0.6,3,1,1,0,0,0,,,,,,
Norfolk County Agricultural,9150000,588,1,0.2,,,,,,,,,0,0,1,0
North Adams,2090000,"1,068",4,0.4,0,0,1,1,0,0,0,0,1,1,0,0
North Andover,2110000,"4,167",8,0.2,3,1,0,0,1,0,0,0,1,0,0,2
North Attleborough,2120000,"3,537",28,0.8,1,0,0,1,0,0,0,0,4,4,1,17
North Brookfield,2150000,441,3,0.7,0,1,0,0,0,0,0,0,0,0,0,2
North Middlesex,7350000,"2,625",12,0.5,1,1,0,1,0,0,0,0,1,3,2,3
North Reading,2170000,"2,093",2,0.1,1,0,0,1,0,0,0,0,0,0,0,0
Northampton,2100000,"2,389",6,0.3,2,0,0,0,0,0,0,0,0,0,1,3
Northampton-Smith Vocational Agricultural,4060000,528,0,0,,,,,,,,,0,0,0,0
Northboro-Southboro,7300000,"1,345",0,0,,,,,,,,,0,0,0,0
Northborough,2130000,"1,381",1,0.1,0,0,0,0,0,0,1,0,,,,
Northbridge,2140000,"1,722",20,1.2,1,0,0,2,0,0,1,0,13,1,1,1
Northeast Metropolitan Regional Vocational Technical,8530000,"1,281",1,0.1,,,,,,,,,0,1,0,0
