District Name,District Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
Clinton,00640000,     479,       5,   1.0,   0.0,   2.5,   1.9,   0.0
Codman Academy Charter Public (District),04380000,     136,       2,   1.5,   2.3,   0.0,   3.2,   0.0
Cohasset,00650000,     447,       1,   0.2,   0.0,   0.9,   0.0,   0.0
Collegiate Charter School of Lowell (District),35030000,      69,       4,   5.8,   6.9,   5.0,,
Community Charter School of Cambridge (District),04360000,     170,       1,   0.6,   1.8,   0.0,   0.0,   0.0
Concord-Carlisle,06400000,"   1,311",       1,   0.1,   0.0,   0.3,   0.0,   0.0
Danvers,00710000,     864,       5,   0.6,   0.0,   0.5,   1.0,   0.8
Dartmouth,00720000,"   1,045",       7,   0.7,   0.4,   0.4,   1.4,   0.4
Dedham,00730000,     682,       9,   1.3,   0.6,   3.5,   1.2,   0.0
Dennis-Yarmouth,06450000,     652,      20,   3.1,   0.7,   3.5,   5.1,   2.8
Dighton-Rehoboth,06500000,     747,       4,   0.5,   1.1,   0.0,   0.6,   0.5
Douglas,00770000,     346,       6,   1.7,   1.2,   1.3,   0.0,   4.3
Dover-Sherborn,06550000,     670,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Dracut,00790000,     881,       7,   0.8,   2.4,   0.0,   0.9,   0.0
Dudley-Charlton Reg,06580000,"   1,000",      12,   1.2,   1.1,   0.5,   2.7,   0.4
Duxbury,00820000,     958,       0,   0.0,   0.0,   0.0,   0.0,   0.0
East Bridgewater,00830000,     618,       3,   0.5,   0.7,   0.0,   0.0,   1.3
East Longmeadow,00870000,     802,       3,   0.4,   0.0,   0.5,   0.0,   1.2
Easthampton,00860000,     417,       8,   1.9,   1.0,   3.0,   2.7,   0.9
Easton,00880000,"   1,111",       3,   0.3,   0.4,   0.7,   0.0,   0.0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,     385,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Essex North Shore Agricultural and Technical School District,08170000,"   1,564",       3,   0.2,   0.0,   0.5,   0.0,   0.3
Everett,00930000,"   2,081",      93,   4.5,   1.4,   5.1,   6.0,   5.7
Excel Academy Charter (District),04100000,     677,       1,   0.1,   0.0,   0.0,   0.0,   0.6
Fairhaven,00940000,     679,       7,   1.0,   0.0,   1.6,   1.3,   1.1
Fall River,00950000,"   2,327",      85,   3.7,   0.9,   5.4,   3.9,   4.2
Falmouth,00960000,     807,      22,   2.7,   2.5,   2.1,   4.9,   1.6
Fitchburg,00970000,"   1,378",      20,   1.5,   0.3,   1.1,   2.5,   2.0
Four Rivers Charter Public (District),04130000,     140,       3,   2.1,   0.0,   2.7,   2.5,   3.6
Foxborough,00990000,     757,       1,   0.1,   0.0,   0.0,   0.0,   0.5
Foxborough Regional Charter (District),04460000,     360,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Framingham,01000000,"   2,385",      58,   2.4,   1.8,   3.5,   2.9,   1.4
Francis W. Parker Charter Essential (District),04780000,     260,       3,   1.2,   0.0,   0.0,   3.0,   1.7
Franklin,01010000,"   1,728",       2,   0.1,   0.2,   0.0,   0.2,   0.0
Franklin County Regional Vocational Technical,08180000,     555,       4,   0.7,   0.0,   1.4,   1.5,   0.0
Freetown-Lakeville,06650000,     754,       2,   0.3,   0.5,   0.0,   0.0,   0.5
Frontier,06700000,     403,       5,   1.2,   0.0,   2.0,   1.0,   1.9
Gardner,01030000,     631,      13,   2.1,   2.2,   2.2,   1.3,   2.5
Gateway,06720000,     191,       2,   1.0,   0.0,   0.0,   2.6,   1.9
Georgetown,01050000,     337,       1,   0.3,   0.0,   0.0,   1.1,   0.0
Gill-Montague,06740000,     184,       9,   4.9,   0.0,   0.0,  15.4,   5.2
Global Learning Charter Public (District),04960000,     144,       1,   0.7,   0.0,   0.0,   2.9,   0.0
Gloucester,01070000,     812,      27,   3.3,   3.5,   3.0,   3.6,   3.1
Grafton,01100000,     870,       2,   0.2,   0.0,   0.4,   0.4,   0.0
Granby,01110000,     226,       2,   0.9,   0.0,   0.0,   0.0,   3.7
Greater Fall River Regional Vocational Technical,08210000,"   1,452",       4,   0.3,   0.0,   0.5,   0.0,   0.6
