DISTRICT,Org Code,PK-2 (# ),3-5 (# ),6-8 (# ),9-12 (# ),Multiple Grades (# ),All Grades (# ),FTE Count
Greater Lawrence Regional Vocational Technical,08230000,0,0,0,117.5,0,0,117.5
Greater Lowell Regional Vocational Technical,08280000,0,0,0,190.9,0,2.2,193.1
Greater New Bedford Regional Vocational Technical,08250000,0,0,0,170.7,0,0,170.7
Greenfield,01140000,33.9,29.7,28.4,22.5,26.1,0,140.6
Greenfield Commonwealth Virtual District,39010000,8.8,7.8,12.9,11.1,18.3,0,58.8
Groton-Dunstable,06730000,36,39.4,43.5,22.9,45.1,4.3,191.1
Hadley,01170000,9.3,6.4,10,13.6,4.7,0,44
Halifax,01180000,15.4,16.1,4.5,0,0,0,36
Hamilton-Wenham,06750000,25.2,23.2,30.9,41.3,0,15.2,135.8
Hampden Charter School of Science East (District),04990000,0,0,18.7,16.9,9.9,0,45.5
Hampden Charter School of Science West (District),35160000,0,0,14.2,10.4,7.4,0,32
Hampden-Wilbraham,06800000,51.7,48.2,48,73.7,0,0,221.7
Hampshire,06830000,0,0,24.6,36.7,11.2,0.1,72.6
Hancock,01210000,3.5,2.6,1.3,0,0,0,7.4
Hanover,01220000,41,32.6,43.6,58.3,14,9.2,198.7
Harvard,01250000,14.7,17.2,23.8,24.6,10.7,1.1,92
Hatfield,01270000,9.7,7.4,9.2,14,0,0,40.3
Haverhill,01280000,124.6,112,122.5,99.9,132.7,2.5,594.2
Hawlemont,06850000,4.9,4.2,1.3,0,0,0,10.3
Helen Y. Davis Leadership Academy Charter Public (District),04190000,0,0,15.5,0,1,2.5,19
Hill View Montessori Charter Public (District),04550000,4.9,9.5,5.6,0,0,4,24
Hilltown Cooperative Charter Public (District),04500000,2.5,3.6,9.4,0,4.5,0,20
Hingham,01310000,54.4,53.3,70.9,85.9,26.5,8.3,299.3
Holbrook,01330000,26.7,24.4,20.1,23.6,1,1,96.7
Holland,01350000,7.5,7.3,2.2,0,1,0,17.9
Holliston,01360000,43.7,48.5,50.8,12.5,5.9,47.2,208.6
Holyoke,01370000,105.5,94.9,92.7,101.7,12.4,0.1,407.3
Holyoke Community Charter (District),04530000,0,1.6,0,0,0,40.9,42.5
Hoosac Valley Regional,06030000,21.3,18.8,21,18.1,12.2,0,91.4
Hopedale,01380000,20.9,16.3,18,30.8,5,1.7,92.6
Hopkinton,01390000,66.6,57.2,68.6,86,0.1,0.2,278.6
Hudson,01410000,43.8,47.1,54.3,56.7,14,17,233
Hull,01420000,13.5,12,19.4,27.8,5.5,1.4,79.5
Innovation Academy Charter (District),04350000,0,7.1,25.4,32.8,0,0,65.3
Ipswich,01440000,30.3,29.5,37.2,46.5,9,1.6,154.1
KIPP Academy Boston Charter School (District),04630000,11.3,15.2,16.2,0,2,0,44.8
KIPP Academy Lynn Charter (District),04290000,24.9,22.7,19.1,25.1,15.2,0,107
King Philip,06900000,0,0,44.8,79.7,6.3,2,132.9
Kingston,01450000,24,26.1,7.9,0,6,0,64
Lawrence,01490000,211.9,200.2,216.8,203.4,240.3,50.7,"1,123.30"
Lawrence Family Development Charter (District),04540000,21.6,14.9,16.5,0,9,0,62
Learning First Charter Public School (District),04860000,10.5,13,13.5,0,2,0,39
Lee,01500000,10.5,11.1,14.7,22.8,14.4,0,73.5
Leicester,01510000,23.8,20.5,18.6,22.4,11.4,4.2,100.9
Lenox,01520000,15.2,13.3,20.4,29.5,0,0,78.4
Leominster,01530000,88.4,75.3,81.3,94.9,14,24.4,378.3
Leverett,01540000,4.7,4.7,1.6,0,4,0,14.9
Lexington,01550000,77.4,99.7,162.8,178.4,102.7,0.4,621.4
Libertas Academy Charter School (District),35140000,0,0,24.8,0,3.2,0,28
Lincoln,01570000,42,32.8,34,0,17.5,0,126.3
Lincoln-Sudbury,06950000,0,0,0,124.4,0,1.4,125.8
Littleton,01580000,25.7,23.5,26.1,32.2,5.9,3.8,117.3
Longmeadow,01590000,40.6,41,43.6,56.8,46.3,18.6,246.9
