District Name,District Code,General Education (#),Special Education (#),Career Vocational Technical (#),English Language Learner (#),FTE Count
Mattapoisett,01730000,31.8,6,0,0,37.8
Maynard,01740000,93.4,11.5,0,2,106.9
Medfield,01750000,188.1,10.5,0,2,200.6
Medford,01760000,311.4,37.8,24.6,10,383.8
Medway,01770000,152.6,13.5,0,3.2,169.3
Melrose,01780000,233.5,39.6,0,6,279.1
Mendon-Upton,07100000,141.7,12.8,0,2,156.5
Methuen,01810000,400.8,74.6,1,13.6,490
Middleborough,01820000,193,34.4,0,0,227.4
Middleton,01840000,54.2,12.6,0,1,67.8
Milford,01850000,254.2,53.7,9.1,21.1,338.1
Millbury,01860000,112.6,18.8,0,3,134.4
Millis,01870000,86.9,11,0,0,97.9
Milton,01890000,267.4,49.7,0,0.4,317.5
Minuteman Regional Vocational Technical,08300000,34.1,7.7,34,0.7,76.5
Mohawk Trail,07170000,69.4,0,0,0,69.4
Monomoy Regional School District,07120000,164.6,0,0,3,167.5
Monson,01910000,70.6,8.8,0.3,0,79.7
Montachusett Regional Vocational Technical,08320000,42.8,6.4,55,0.8,105
Mount Greylock,07150000,102.1,8.5,0,1,111.6
Mystic Valley Regional Charter (District),04700000,102.7,0,0,1,103.7
Nahant,01960000,10.4,1,0,0,11.4
Nantucket,01970000,121.8,22.5,0,10,154.3
Narragansett,07200000,83.3,15.7,0,0,98.9
Nashoba,07250000,231.7,31.6,0,2,265.4
Nashoba Valley Regional Vocational Technical,08520000,24.1,7.9,32.1,0.1,64.2
Natick,01980000,429,2.6,0,5.2,436.8
Nauset,06600000,122.8,9.2,0,0.8,132.8
Needham,01990000,389.6,26.6,0,5.2,421.4
Neighborhood House Charter (District),04440000,74.4,0,0,0,74.4
New Bedford,02010000,735.8,184.9,0,70.5,991.2
New Heights Charter School of Brockton (District),35130000,47.2,3,0,1,51.2
New Salem-Wendell,07280000,7.5,5,0,0,12.5
Newburyport,02040000,147.8,39.9,0,3,190.7
Newton,02070000,822.3,229.6,7,32.1,1091
Norfolk,02080000,59.4,20.8,0,0,80.2
Norfolk County Agricultural,09150000,29.4,1.9,24.8,0,56.1
North Adams,02090000,108,13.5,0,0,121.5
North Andover,02110000,309.8,12.8,0,0,322.6
North Attleborough,02120000,275,15,0,1.7,291.7
North Brookfield,02150000,41.1,0,0,0.2,41.2
North Middlesex,07350000,192,47.6,0,3,242.6
North Reading,02170000,178.6,27.4,4.2,0.9,211.1
Northampton,02100000,159.7,67.9,0,6.7,234.3
Northampton-Smith Vocational Agricultural,04060000,22.6,4.4,30,0,57
Northboro-Southboro,07300000,112,1.3,0,0,113.3
Northborough,02130000,123.6,14.4,0,0,138
Northbridge,02140000,133.1,26.3,0,4,163.4
Northeast Metropolitan Regional Vocational Technical,08530000,55.7,1.2,58.7,0.6,116.3
Northern Berkshire Regional Vocational Technical,08510000,20.7,0,21.8,0,42.5
Norton,02180000,164.6,17.7,1.5,1,184.8
Norwell,02190000,140.1,19.7,0,1,160.8
Norwood,02200000,239.3,46.9,0,13.4,299.6
Oak Bluffs,02210000,37.9,7,0,2,46.9
Old Colony Regional Vocational Technical,08550000,20,4,36,0,60
Old Rochester,07400000,78.6,12,0,0,90.6
Old Sturbridge Academy Charter Public School (District),35150000,16,3,0,1,20
Orange,02230000,39.8,0,0,0,39.8
Orleans,02240000,18.9,1.2,0,0,20
Oxford,02260000,105.4,9.9,0,1,116.3
Palmer,02270000,87.2,21.3,0.5,2,111
